dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.707506,49.065866,0.001962,0.196181,9.809028,490.451389,0.000230
0.020000,2.707643,49.065866,0.002099,0.006837,-9.467164,-963.809604,0.000219
0.020000,2.707950,49.065866,0.002406,0.015378,0.427040,494.710226,0.000195
0.020000,2.708497,49.065866,0.002952,0.027319,0.597048,8.500376,0.000152
0.020000,2.709349,49.065866,0.003805,0.042635,0.765815,8.438352,0.000086
0.020000,2.718132,49.065866,0.012588,0.439140,19.825251,952.971814,6.283175
0.020000,2.815925,49.065859,0.110380,4.889619,222.523943,10134.934601,6.283045
0.020000,2.943647,49.065830,0.238102,6.386104,74.824254,-7384.984474,6.282875
0.020000,3.103288,49.065764,0.397744,7.982060,79.797801,248.677353,6.282664
0.020000,3.294840,49.065640,0.589296,9.577628,79.778407,-0.969671,6.282412
0.020000,3.518295,49.065435,0.812751,11.172749,79.756012,-1.119771,6.282120
0.020000,3.773642,49.065120,1.068098,12.767343,79.729713,-1.314960,6.281789
0.020000,4.060868,49.064666,1.355324,14.361302,79.697977,-1.586796,6.281419
0.020000,4.379959,49.064037,1.674416,15.954595,79.664637,-1.666964,6.281012
0.020000,4.730901,49.063197,2.025359,17.547131,79.626811,-1.891304,6.280569
0.020000,5.113676,49.062104,2.408135,19.138833,79.585101,-2.085501,6.280091
0.020000,5.528266,49.060715,2.822728,20.729609,79.538784,-2.315852,6.279580
0.020000,5.974650,49.058983,3.269116,22.319408,79.489934,-2.442534,6.279036
0.020000,6.452808,49.056862,3.747278,23.908138,79.436524,-2.670479,6.278463
0.020000,6.962717,49.054300,4.257193,25.495743,79.380233,-2.814573,6.277861
0.020000,7.504351,49.051246,4.798836,27.082130,79.319373,-3.042994,6.277233
0.020000,8.077684,49.047645,5.372181,28.667241,79.255517,-3.192770,6.276580
0.020000,8.682689,49.043443,5.977200,30.250959,79.185922,-3.479778,6.275904
0.020000,9.319336,49.038586,6.613866,31.833286,79.116335,-3.479313,6.275209
0.020000,9.987594,49.033016,7.282147,33.414062,79.038825,-3.875547,6.274496
0.020000,10.687431,49.026679,7.982012,34.993277,78.960718,-3.905333,6.273767
