dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.710444,36.284616,0.001962,0.196181,9.809028,490.451389,0.000230
0.020000,2.710444,36.284616,0.009809,0.588542,19.618056,490.451389,0.000219
0.020000,2.710444,36.284616,0.027465,1.177083,29.427083,490.451389,0.000195
0.020000,2.710444,36.284616,0.058854,1.961806,39.236111,490.451389,0.000152
0.020000,2.710444,36.284616,0.107899,2.942708,49.045139,490.451389,0.000086
0.020000,2.718001,36.284616,0.178524,4.119792,58.854167,490.451389,6.283175
0.020000,2.814129,36.284609,0.274653,5.493056,68.663194,490.451389,6.283045
0.020000,2.939685,36.284581,0.400208,7.062500,78.472222,490.451389,6.282875
0.020000,3.096629,36.284516,0.557153,8.631944,78.472222,0.000000,6.282664
0.020000,3.284963,36.284394,0.745486,10.201389,78.472222,0.000000,6.282412
0.020000,3.504685,36.284192,0.965208,11.770833,78.472222,0.000000,6.282120
0.020000,3.755796,36.283883,1.216319,13.340278,78.472222,-0.000000,6.281789
0.020000,4.038295,36.283436,1.498819,14.909722,78.472222,0.000000,6.281419
0.020000,4.352184,36.282818,1.812708,16.479167,78.472222,-0.000000,6.281012
0.020000,4.697460,36.281991,2.157986,18.048611,78.472222,-0.000000,6.280569
0.020000,5.074126,36.280915,2.534653,19.618056,78.472222,0.000000,6.280091
0.020000,5.482179,36.279548,2.942708,21.187500,78.472222,0.000000,6.279580
0.020000,5.921620,36.277844,3.382153,22.756944,78.472222,0.000000,6.279036
0.020000,6.392449,36.275755,3.852986,24.326389,78.472222,-0.000000,6.278463
0.020000,6.894664,36.273231,4.355208,25.895833,78.472222,0.000000,6.277861
0.020000,7.428267,36.270222,4.888819,27.465278,78.472222,0.000000,6.277233
0.020000,7.993256,36.266674,5.453819,29.034722,78.472222,-0.000000,6.276580
0.020000,8.589630,36.262532,6.050208,30.604167,78.472222,0.000000,6.275904
0.020000,9.217390,36.257742,6.677986,32.173611,78.472222,-0.000000,6.275209
0.020000,9.876534,36.252249,7.337153,33.743056,78.472222,0.000000,6.274496
0.020000,10.567061,36.245996,8.027708,35.312500,78.472222,-0.000000,6.273767
0.020000,11.288971,36.238928,8.749653,36.881944,78.472222,0.000000,6.273026
0.020000,12.042262,36.230991,9.502986,38.451389,78.472222,0.000000,6.272275
0.020000,12.826935,36.222130,10.287708,40.020833,78.472222,-0.000000,6.271517
0.020000,13.642987,36.212295,11.103819,41.590278,78.472222,0.000000,6.270755
0.020000,14.490417,36.201435,11.951319,43.159722,78.472222,0.000000,6.269991
0.020000,15.369225,36.189502,12.830208,44.729167,78.472222,0.000000,6.269230
0.020000,16.279409,36.176452,13.740486,46.298611,78.472222,0.000000,6.268473
0.020000,17.220968,36.162244,14.682153,47.868056,78.472222,0.000000,6.267726
0.020000,18.193902,36.146841,15.655208,49.437500,78.472222,-0.000000,6.266990
0.020000,19.198209,36.130210,16.659653,51.006944,78.472222,0.000000,6.266271
0.020000,20.233888,36.112324,17.695486,52.576389,78.472222,0.000000,6.265571
0.020000,21.300938,36.093161,18.762708,54.145833,78.472222,-0.000000,6.264894
0.020000,22.399359,36.072707,19.861319,55.715278,78.472222,0.000000,6.264245
0.020000,23.529149,36.050952,20.991319,57.284722,78.472222,0.000000,6.263627
0.020000,24.690309,36.027896,22.152708,58.854167,78.472222,0.000000,6.263045
0.020000,25.882838,36.003546,23.345486,60.423611,78.472222,-0.000000,6.262503
0.020000,27.106737,35.977919,24.569653,61.993056,78.472222,0.000000,6.262006
0.020000,28.362005,35.951041,25.825208,63.562500,78.472222,-0.000000,6.261557
0.020000,29.648642,35.922948,27.112153,65.131944,78.472222,0.000000,6.261162
0.020000,30.966651,35.893687,28.430486,66.701389,78.472222,0.000000,6.260825
0.020000,32.316032,35.863317,29.780208,68.270833,78.472222,0.000000,6.260552
0.020000,33.696786,35.831910,31.161319,69.840278,78.472222,0.000000,6.260347
0.020000,35.108915,35.799551,32.573819,71.409722,78.472222,-0.000000,6.260215
0.020000,36.552422,35.766339,34.017708,72.979167,78.472222,0.000000,6.260162
0.020000,38.027309,35.732388,35.492986,74.548611,78.472222,-0.000000,6.260193
0.020000,39.533579,35.697829,36.999653,76.118056,78.472222,0.000000,6.260313
0.020000,41.071236,35.662808,38.537708,77.687500,78.472222,0.000000,6.260529
0.020000,42.640283,35.627489,40.107153,79.256944,78.472222,0.000000,6.260846
0.020000,44.240724,35.592055,41.707986,80.826389,78.472222,0.000000,6.261269
0.020000,45.872564,35.556709,43.340208,82.395833,78.472222,0.000000,6.261805
0.020000,47.535806,35.521673,45.003819,83.965278,78.472222,0.000000,6.262460
0.020000,49.230455,35.487192,46.698819,85.534722,78.472222,-0.000000,6.263241
0.020000,50.956516,35.453533,48.425208,87.104167,78.472222,0.000000,6.264153
0.020000,52.713992,35.420985,50.182986,88.673611,78.472222,-0.000000,6.265203
0.020000,54.502888,35.389864,51.972153,90.243056,78.472222,0.000000,6.266398
0.020000,56.323207,35.360510,53.792708,91.812500,78.472222,0.000000,6.267745
0.020000,58.174951,35.333291,55.644653,93.381944,78.472222,0.000000,6.269251
0.020000,60.058122,35.308601,57.527986,94.951389,78.472222,0.000000,6.270923
0.020000,61.972721,35.286865,59.442708,96.520833,78.472222,0.000000,6.272768
0.020000,63.918745,35.268537,61.388819,98.090278,78.472222,0.000000,6.274793
0.020000,65.896192,35.254104,63.366319,99.659722,78.472222,-0.000000,6.277007
0.020000,67.905056,35.244085,65.375208,101.229167,78.472222,0.000000,6.279416
0.020000,69.945327,35.239033,67.415486,102.798611,78.472222,-0.000000,6.282030
0.020000,72.016992,35.239535,69.487153,104.368056,78.472222,0.000000,0.001669
0.020000,74.120037,35.246217,71.590208,105.937500,78.472222,0.000000,0.004715
0.020000,76.254437,35.259741,73.724653,107.506944,78.472222,0.000000,0.007988
0.020000,78.418206,35.280787,75.888524,108.880208,68.663194,-490.451389,0.011496
0.020000,80.607384,35.310015,78.077899,110.057292,58.854167,-490.451389,0.015238
0.020000,82.818010,35.348063,80.288854,111.038194,49.045139,-490.451389,0.019214
0.020000,85.046114,35.395533,82.517465,111.822917,39.236111,-490.451389,0.023424
0.020000,87.287720,35.452992,84.759809,112.411458,29.427083,-490.451389,0.027864
0.020000,89.538845,35.520951,87.011962,112.803819,19.618056,-490.451389,0.032530
0.020000,91.795501,35.599867,89.270000,113.000000,9.809028,-490.451389,0.037416
0.020000,94.053695,35.690127,91.530000,113.000000,0.000000,-490.451389,0.042516
0.020000,96.311389,35.792136,93.790000,113.000000,0.000000,0.000000,0.047823
0.020000,98.568498,35.906362,96.050000,113.000000,0.000000,0.000000,0.053340
0.020000,100.824929,36.033273,98.310000,113.000000,0.000000,0.000000,0.059065
0.020000,103.080581,36.173334,100.570000,113.000000,0.000000,0.000000,0.064998
0.020000,105.335347,36.327010,102.830000,113.000000,0.000000,0.000000,0.071138
0.020000,107.589108,36.494763,105.090000,113.000000,0.000000,0.000000,0.077486
0.020000,109.841740,36.677051,107.350000,113.000000,0.000000,0.000000,0.084041
0.020000,112.093109,36.874332,109.610000,113.000000,0.000000,0.000000,0.090801
0.020000,114.343071,37.087057,111.870000,113.000000,0.000000,0.000000,0.097765
0.020000,116.591472,37.315675,114.130000,113.000000,0.000000,0.000000,0.104933
0.020000,118.838153,37.560631,116.390000,113.000000,0.000000,0.000000,0.112303
0.020000,121.082941,37.822362,118.650000,113.000000,0.000000,0.000000,0.119872
0.020000,123.325655,38.101301,120.910000,113.000000,0.000000,0.000000,0.127641
0.020000,125.566105,38.397873,123.170000,113.000000,0.000000,0.000000,0.135605
0.020000,127.804091,38.712496,125.430000,113.000000,0.000000,0.000000,0.143763
0.020000,130.039405,39.045581,127.690000,113.000000,0.000000,0.000000,0.152113
0.020000,132.271825,39.397529,129.950000,113.000000,0.000000,0.000000,0.160650
0.020000,134.501124,39.768730,132.210000,113.000000,0.000000,0.000000,0.169373
0.020000,136.727065,40.159566,134.470000,113.000000,0.000000,0.000000,0.178278
0.020000,138.949401,40.570407,136.730000,113.000000,0.000000,0.000000,0.187361
0.020000,141.167876,41.001608,138.990000,113.000000,0.000000,0.000000,0.196617
0.020000,143.382224,41.453515,141.250000,113.000000,0.000000,0.000000,0.206044
0.020000,145.592174,41.926457,143.510000,113.000000,0.000000,0.000000,0.215635
0.020000,147.797448,42.420751,145.770000,113.000000,0.000000,0.000000,0.225386
0.020000,149.997756,42.936696,148.030000,113.000000,0.000000,0.000000,0.235292
0.020000,152.192805,43.474577,150.290000,113.000000,0.000000,0.000000,0.245347
0.020000,154.382295,44.034659,152.550000,113.000000,0.000000,0.000000,0.255546
0.020000,156.565918,44.617192,154.810000,113.000000,0.000000,0.000000,0.265881
0.020000,158.743363,45.222407,157.070000,113.000000,0.000000,0.000000,0.276348
0.020000,160.914315,45.850513,159.330000,113.000000,0.000000,0.000000,0.286938
0.020000,163.078454,46.501703,161.590000,113.000000,0.000000,0.000000,0.297646
0.020000,165.235459,47.176148,163.850000,113.000000,0.000000,0.000000,0.308463
0.020000,167.385006,47.873999,166.110000,113.000000,0.000000,0.000000,0.319384
0.020000,169.526769,48.595383,168.370000,113.000000,0.000000,0.000000,0.330399
0.020000,171.660425,49.340410,170.630000,113.000000,0.000000,0.000000,0.341501
0.020000,173.662954,50.059543,172.890000,113.000000,0.000000,0.000000,0.344420
0.020000,175.791674,50.818586,175.150000,113.000000,0.000000,0.000000,0.340765
0.020000,177.922820,51.570793,177.410000,113.000000,0.000000,0.000000,0.337998
0.020000,180.055713,52.318035,179.670000,113.000000,0.000000,0.000000,0.336106
0.020000,182.189692,53.062168,181.930000,113.000000,0.000000,0.000000,0.335083
0.020000,184.324111,53.805041,184.190000,113.000000,0.000000,0.000000,0.334924
0.020000,186.458326,54.548496,186.450000,113.000000,0.000000,0.000000,0.335629
0.020000,188.591695,55.294380,188.710000,113.000000,0.000000,0.000000,0.337201
0.020000,190.723561,56.044545,190.970000,113.000000,0.000000,0.000000,0.339645
0.020000,192.853254,56.800856,193.230000,113.000000,0.000000,0.000000,0.342972
0.020000,194.980077,57.565197,195.490000,113.000000,0.000000,0.000000,0.347195
0.020000,197.103301,58.339477,197.750000,113.000000,0.000000,0.000000,0.352329
0.020000,199.222155,59.125631,200.010000,113.000000,0.000000,0.000000,0.358395
0.020000,201.335821,59.925629,202.270000,113.000000,0.000000,0.000000,0.365417
0.020000,203.443419,60.741479,204.530000,113.000000,0.000000,0.000000,0.373421
0.020000,205.543998,61.575229,206.790000,113.000000,0.000000,0.000000,0.382437
