dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.713382,23.503367,0.001962,0.196181,9.809028,490.451389,0.000230
0.020000,2.713245,23.503367,0.002099,0.006837,-9.467164,-963.809604,0.000219
0.020000,2.712938,23.503367,0.002406,0.015378,0.427040,494.710226,0.000195
0.020000,2.712391,23.503367,0.002952,0.027319,0.597048,8.500376,0.000152
0.020000,2.711539,23.503366,0.003805,0.042635,0.765815,8.438352,0.000086
0.020000,2.717870,23.503366,0.010137,0.316568,13.696623,646.540424,6.283175
0.020000,2.812334,23.503359,0.104601,4.723197,220.331479,10331.742763,6.283045
0.020000,2.935723,23.503331,0.227990,6.169454,72.312810,-7400.933433,6.282875
0.020000,3.089971,23.503267,0.382237,7.712389,77.146790,241.699014,6.282664
0.020000,3.275085,23.503148,0.567351,9.255699,77.165481,0.934536,6.282412
0.020000,3.491074,23.502949,0.783341,10.799474,77.188745,1.163233,6.282120
0.020000,3.737950,23.502645,1.030217,12.343788,77.215707,1.348064,6.281789
0.020000,4.015723,23.502206,1.307990,13.888686,77.244875,1.458397,6.281419
0.020000,4.324408,23.501598,1.616676,15.434284,77.279948,1.753641,6.281012
0.020000,4.664020,23.500784,1.956289,16.980647,77.318128,1.909046,6.280569
0.020000,5.034576,23.499726,2.326846,18.527847,77.359990,2.093070,6.280091
0.020000,5.436092,23.498381,2.728365,20.075943,77.404820,2.241501,6.279580
0.020000,5.868590,23.496704,3.160865,21.625036,77.454614,2.489696,6.279036
0.020000,6.332089,23.494647,3.624369,23.175183,77.507398,2.639185,6.278463
0.020000,6.826612,23.492162,4.118899,24.726479,77.564782,2.869225,6.277861
0.020000,7.352183,23.489198,4.644478,26.278981,77.625118,3.016786,6.277233
0.020000,7.908828,23.485703,5.201134,27.832780,77.689915,3.239844,6.276580
0.020000,8.496572,23.481621,5.788892,29.387910,77.756492,3.328845,6.275904
0.020000,9.115444,23.476899,6.407782,30.944518,77.830416,3.696245,6.275209
0.020000,9.765474,23.471481,7.057834,32.502597,77.903964,3.677378,6.274496
0.020000,10.446692,23.465312,7.739080,34.062282,77.984240,4.013787,6.273767
0.020000,11.159130,23.458337,8.451552,35.623613,78.066554,4.115710,6.273026
0.020000,11.902822,23.450501,9.195286,37.186680,78.153348,4.339695,6.272275
0.020000,12.677804,23.441750,9.970317,38.751570,78.244515,4.558370,6.271517
0.020000,13.484112,23.432033,10.776684,40.318319,78.337427,4.645583,6.270755
0.020000,14.321783,23.421297,11.614424,41.887020,78.435060,4.881652,6.269991
0.020000,15.190858,23.409497,12.483579,43.457760,78.537013,5.097667,6.269230
0.020000,16.091377,23.396585,13.384191,45.030571,78.640548,5.176744,6.268473
0.020000,17.023383,23.382521,14.316302,46.605588,78.750834,5.514290,6.267726
0.020000,17.986919,23.367267,15.279959,48.182824,78.861813,5.548978,6.266990
0.020000,18.982030,23.350788,16.275207,49.762392,78.978404,5.829548,6.266271
0.020000,20.008764,23.333057,17.302094,51.344342,79.097508,5.955184,6.265571
0.020000,21.067168,23.314049,18.360669,52.928758,79.220760,6.162573,6.264894
0.020000,22.157294,23.293749,19.450983,54.515713,79.347774,6.350697,6.264245
0.020000,23.279191,23.272146,20.573088,56.105257,79.477205,6.471593,6.263627
0.020000,24.432913,23.249238,21.727038,57.697502,79.612242,6.751826,6.263045
0.020000,25.618516,23.225030,22.912888,59.292497,79.749735,6.874648,6.262503
0.020000,26.836056,23.199536,24.130695,60.890318,79.891080,7.067244,6.262006
0.020000,28.085590,23.172781,25.380515,62.491046,80.036393,7.265687,6.261557
0.020000,29.367180,23.144797,26.662410,64.094740,80.184690,7.414835,6.261162
0.020000,30.680886,23.115632,27.976440,65.701498,80.337899,7.660428,6.260825
0.020000,32.026773,23.085340,29.322668,67.311374,80.493806,7.795363,6.260552
0.020000,33.404905,23.053993,30.701157,68.924454,80.654016,8.010486,6.260347
0.020000,34.815351,23.021673,32.111973,70.540814,80.817990,8.198704,6.260215
0.020000,36.258180,22.988476,33.555184,72.160533,80.985942,8.397630,6.260162
0.020000,37.733463,22.954517,35.030857,73.783686,81.157630,8.584365,6.260193
0.020000,39.241273,22.919922,36.539065,75.410352,81.333293,8.783184,6.260313
0.020000,40.781686,22.884838,38.079877,77.040613,81.513089,8.989765,6.260529
0.020000,42.354778,22.849428,39.653368,78.674553,81.696985,9.194818,6.260846
0.020000,43.960630,22.813874,41.259613,80.312249,81.884812,9.391334,6.261269
0.020000,45.599321,22.778380,42.898688,81.953784,82.076728,9.595833,6.261805
0.020000,47.270936,22.743168,44.570674,83.599254,82.273528,9.839998,6.262460
0.020000,48.975557,22.708484,46.275648,85.248737,82.474113,10.029242,6.263241
0.020000,50.713273,22.674598,48.013695,86.902316,82.678965,10.242584,6.264153
0.020000,52.484171,22.641802,49.784896,88.560088,82.888598,10.481664,6.265203
0.020000,54.288342,22.610415,51.589340,90.222156,83.103403,10.740255,6.266398
0.020000,56.125874,22.580784,53.427111,91.888571,83.320748,10.867224,6.267745
0.020000,57.996861,22.553281,55.298300,93.559466,83.544755,11.200357,6.269251
0.020000,59.901396,22.528312,57.202999,95.234928,83.773121,11.418296,6.270923
0.020000,61.839572,22.506308,59.141300,96.915049,84.006028,11.645380,6.272768
0.020000,63.811483,22.487737,61.113298,98.599913,84.243181,11.857621,6.274793
0.020000,65.817222,22.473098,63.119090,100.289606,84.484644,12.073182,6.277007
0.020000,67.856882,22.462926,65.158776,101.984275,84.733456,12.440559,6.279416
0.020000,69.930555,22.457791,67.232455,103.683971,84.984811,12.567761,6.282030
0.020000,72.038331,22.458303,69.340231,105.388792,85.241048,12.811871,0.001669
0.020000,74.180297,22.465109,71.482208,107.098863,85.503579,13.126525,0.004715
0.020000,76.356538,22.478899,73.658493,108.814242,85.768955,13.268826,0.007988
0.020000,78.565131,22.500382,75.867190,110.434852,81.030469,-236.924309,0.011496
0.020000,80.802132,22.530249,78.104391,111.860037,71.259254,-488.560733,0.015238
0.020000,83.063577,22.569172,80.366170,113.088981,61.447188,-490.603297,0.019214
0.020000,85.345475,22.617790,82.648587,114.120804,51.591173,-492.800767,0.023424
0.020000,87.643812,22.676703,84.947679,114.954603,41.689949,-495.061210,0.027864
0.020000,89.954549,22.746463,87.259468,115.589452,31.742425,-497.376206,0.032530
0.020000,92.273619,22.827563,89.579956,116.024405,21.747669,-499.737806,0.037416
