dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,221.080633,150.008336,0.001143,0.114286,5.714286,285.714286,4.685126
0.020000,221.080618,150.007788,0.001691,0.027424,-4.343067,-502.867647,4.685076
0.020000,221.080584,150.006554,0.002926,0.061708,1.714189,302.862803,4.684963
0.020000,221.080524,150.004361,0.005120,0.109715,2.400328,34.306940,4.684763
0.020000,221.080429,150.000933,0.008549,0.171458,3.087176,34.342444,4.684449
0.020000,221.079875,149.981363,0.028127,0.978879,40.371036,1864.192955,4.683997
0.020000,221.078075,149.918661,0.090854,3.136384,107.875257,3375.211076,4.683382
0.020000,221.075666,149.836758,0.172793,4.096922,48.026906,-2992.417546,4.682578
0.020000,221.072522,149.733093,0.276505,5.185639,54.435840,320.446671,4.681560
0.020000,221.068494,149.605101,0.404561,6.402759,60.856015,321.008757,4.680300
0.020000,221.063403,149.450201,0.559545,7.749221,67.323068,323.352657,4.678774
0.020000,221.057036,149.265834,0.744022,9.223852,73.731549,320.424061,4.676954
0.020000,221.049132,149.049417,0.960583,10.828022,80.208498,323.847446,4.674813
0.020000,221.039382,148.798381,1.211808,12.561267,86.662283,322.689248,4.672323
0.020000,221.027468,148.511409,1.499028,14.360991,89.986167,166.194207,4.669469
0.020000,221.013079,148.188485,1.822272,16.162199,90.060420,3.712634,4.666247
0.020000,220.995860,147.829586,2.181583,17.965578,90.168971,5.427535,4.662653
0.020000,220.975418,147.434690,2.577009,19.771269,90.284544,5.778676,4.658682
0.020000,220.951313,147.003774,3.008598,21.579485,90.410764,6.310995,4.654331
0.020000,220.923063,146.536814,3.476412,23.390700,90.560782,7.500886,4.649594
0.020000,220.890140,146.033797,3.980505,25.204653,90.697656,6.843736,4.644465
0.020000,220.851971,145.494700,4.520951,27.022288,90.881745,9.204447,4.638939
0.020000,220.807935,144.919532,5.097803,28.842596,91.015388,6.682120,4.633010
0.020000,220.757364,144.308285,5.711138,30.666766,91.208477,9.654459,4.626670
0.020000,220.699540,143.660974,6.361027,32.494436,91.383503,8.751325,4.619914
0.020000,220.633694,142.977618,7.047548,34.326063,91.581394,9.894535,4.612735
0.020000,220.559006,142.258255,7.770777,36.161449,91.769267,9.393623,4.605126
0.020000,220.474604,141.502940,8.530794,38.000831,91.969127,9.993046,4.597078
0.020000,220.379562,140.711748,9.327674,39.844012,92.159026,9.494911,4.588586
0.020000,220.272899,139.884769,10.161503,41.691462,92.372521,10.674784,4.579641
0.020000,220.153582,139.022129,11.032355,43.542601,92.556930,9.220441,4.570238
0.020000,220.020521,138.123983,11.940304,45.397450,92.742443,9.275636,4.560367
0.020000,219.872569,137.190506,12.885434,47.256494,92.952208,10.488248,4.550024
0.020000,219.708528,136.221926,13.867807,49.118642,93.107403,7.759773,4.539201
0.020000,219.527142,135.218506,14.887489,50.984109,93.273343,8.296999,4.527892
0.020000,219.327103,134.180558,15.944538,52.852436,93.416334,7.149550,4.516093
0.020000,219.107052,133.108438,17.039008,54.723481,93.552292,6.797872,4.503798
0.020000,218.865579,132.002572,18.170930,56.596115,93.631677,3.969243,4.491004
0.020000,218.601229,130.863438,19.340335,58.470234,93.705962,3.714255,4.477709
0.020000,218.312502,129.691580,20.547237,60.345137,93.745121,1.957961,4.463911
0.020000,217.997859,128.487614,21.791639,62.220096,93.747991,0.143509,4.449611
0.020000,217.655729,127.252240,23.073514,64.093723,93.681322,-3.333440,4.434810
0.020000,217.284511,125.986228,24.392827,65.965646,93.596139,-4.259148,4.419511
0.020000,216.882588,124.690445,25.749513,67.834318,93.433626,-8.125646,4.403722
0.020000,216.448324,123.365835,27.143492,69.698930,93.230575,-10.152575,4.387448
0.020000,215.980087,122.013444,28.574647,71.557783,92.942659,-14.395790,4.370701
0.020000,215.476243,120.634405,30.042846,73.409952,92.608466,-16.709679,4.353492
0.020000,214.935181,119.229946,31.547922,75.253775,92.191141,-20.866241,4.335838
0.020000,214.355314,117.801397,33.089673,77.087577,91.690095,-25.052276,4.317756
0.020000,213.735098,116.350173,34.667874,78.910056,91.123957,-28.306912,4.299267
0.020000,213.073584,114.878969,36.280959,80.654242,87.209296,-195.733041,4.280409
