dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,197.365958,150.290258,0.001143,0.114286,5.714286,285.714286,4.713659
0.020000,197.365956,150.291458,0.002343,0.059993,-2.714612,-421.444869,4.713565
0.020000,197.365953,150.294157,0.005043,0.134996,3.750119,323.236522,4.713354
0.020000,197.365950,150.298958,0.009843,0.240029,5.251636,75.075860,4.712978
0.020000,197.365948,150.306461,0.017346,0.375137,6.755400,75.188219,4.712391
0.020000,197.365935,150.276223,0.047584,1.511898,56.838062,2504.133087,4.711545
0.020000,197.365876,150.234953,0.088853,2.063471,27.578668,-1462.969727,4.710393
0.020000,197.365728,150.181080,0.142726,2.693658,31.509360,196.534620,4.708885
0.020000,197.365424,150.112944,0.210863,3.406846,35.659386,207.501296,4.706973
0.020000,197.364870,150.028899,0.294911,4.202374,39.776371,205.849257,4.704608
0.020000,197.363933,149.927304,0.396510,5.079960,43.879330,205.147940,4.701737
0.020000,197.362440,149.806554,0.517269,6.037956,47.899817,201.024369,4.698309
0.020000,197.360162,149.665053,0.658789,7.075980,51.901193,200.068805,4.694271
0.020000,197.356809,149.501226,0.822649,8.193018,55.851904,197.535526,4.689565
0.020000,197.352039,149.314379,1.009557,9.345395,57.618853,88.347461,4.684159
0.020000,197.345476,149.104660,1.219380,10.491123,57.286360,-16.624630,4.678043
0.020000,197.336695,148.872240,1.451965,11.629295,56.908639,-18.886086,4.671203
0.020000,197.325224,148.617313,1.707150,12.759248,56.497624,-20.550728,4.663629
0.020000,197.310541,148.340087,1.984765,13.880715,56.073365,-21.212972,4.655305
0.020000,197.292076,148.040795,2.284626,14.993065,55.617512,-22.792620,4.646219
0.020000,197.269208,147.719684,2.606550,16.096186,55.156012,-23.075019,4.636355
0.020000,197.241270,147.377017,2.950354,17.190200,54.700718,-22.764673,4.625699
0.020000,197.207542,147.013075,3.315856,18.275103,54.245157,-22.778072,4.614237
0.020000,197.167256,146.628151,3.702882,19.351297,53.809671,-21.774291,4.601956
0.020000,197.119593,146.222551,4.111273,20.419541,53.412221,-19.872498,4.588842
0.020000,197.063681,145.796584,4.540894,21.481053,53.075606,-16.830789,4.574886
