dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,211.453386,149.930729,0.001128,0.112782,5.639098,281.954887,4.678027
0.020000,211.453384,149.930677,0.001180,0.002617,-5.508257,-557.367745,4.678022
0.020000,211.453380,149.930559,0.001298,0.005894,0.163862,283.605939,4.678012
0.020000,211.453373,149.930349,0.001508,0.010500,0.230276,3.320705,4.677993
0.020000,211.453362,149.930020,0.001837,0.016460,0.298024,3.387407,4.677962
0.020000,211.453313,149.928604,0.003255,0.070878,2.720888,121.143210,4.677919
0.020000,211.451384,149.872721,0.059171,2.795824,136.247330,6676.322110,4.677859
0.020000,211.448860,149.799723,0.132212,3.652038,42.810676,-4671.832735,4.677781
0.020000,211.445656,149.707324,0.224667,4.622738,48.534981,286.215256,4.677680
0.020000,211.441687,149.593232,0.338828,5.708063,54.266265,286.564223,4.677554
0.020000,211.436865,149.455153,0.476992,6.908180,60.005839,286.978688,4.677399
0.020000,211.431096,149.290787,0.641458,8.223330,65.757500,287.583064,4.677210
0.020000,211.424283,149.097831,0.834535,9.653816,71.524344,288.342195,4.676984
0.020000,211.416324,148.873973,1.058534,11.199992,77.308791,289.222341,4.676714
0.020000,211.407149,148.618037,1.314635,12.805012,80.250987,147.109798,4.676397
0.020000,211.396724,148.329984,1.602876,14.412074,80.353093,5.105299,4.676029
0.020000,211.385009,148.009770,1.923304,16.021398,80.466190,5.654863,4.675605
0.020000,211.371954,147.657347,2.275969,17.633250,80.592634,6.322196,4.675120
0.020000,211.357506,147.272659,2.660928,19.247956,80.735294,7.132991,4.674571
0.020000,211.341599,146.855649,3.078242,20.865676,80.885991,7.534875,4.673950
0.020000,211.324160,146.406252,3.527977,22.486752,81.053796,8.390224,4.673253
0.020000,211.305106,145.924400,4.010205,24.111415,81.233145,8.967470,4.672471
0.020000,211.284339,145.410020,4.525005,25.739974,81.427975,9.741478,4.671600
0.020000,211.261751,144.863032,5.072458,27.372680,81.635280,10.365266,4.670629
0.020000,211.237220,144.283354,5.652655,29.009854,81.858679,11.169932,4.669553
0.020000,211.210606,143.670897,6.265690,30.651741,82.094374,11.784784,4.668361
0.020000,211.181753,143.025569,6.911663,32.298643,82.345107,12.536617,4.667045
0.020000,211.150486,142.347270,7.590682,33.950974,82.616547,13.572015,4.665595
