dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.591299,150.682244,0.001128,0.112782,5.639098,281.954887,4.678027
0.020000,189.591301,150.682296,0.001180,0.002617,-5.508257,-557.367745,4.678022
0.020000,189.591305,150.682414,0.001298,0.005894,0.163862,283.605939,4.678012
0.020000,189.591312,150.682624,0.001508,0.010500,0.230276,3.320705,4.677993
0.020000,189.591324,150.682953,0.001837,0.016460,0.298024,3.387407,4.677962
0.020000,189.591308,150.682488,0.002302,0.023239,0.338970,2.047308,4.677919
0.020000,189.589424,150.627910,0.056913,2.730539,135.364991,6751.301056,4.677859
0.020000,189.586959,150.556633,0.128233,3.565997,41.772902,-4679.604475,4.677781
0.020000,189.583832,150.466435,0.218485,4.512590,47.329622,277.836020,4.677680
0.020000,189.579959,150.355099,0.329887,5.570146,52.877838,277.410777,4.677554
0.020000,189.575254,150.220413,0.464656,6.738447,58.415008,276.858529,4.677399
0.020000,189.569630,150.060166,0.625002,8.017258,63.940584,276.278815,4.677210
0.020000,189.562992,149.872157,0.813128,9.406316,69.452884,275.614992,4.676984
0.020000,189.555242,149.654189,1.031234,10.905298,74.949113,274.811456,4.676714
0.020000,189.546316,149.405186,1.280397,12.458148,77.642464,134.667541,4.676397
0.020000,189.536183,149.125189,1.560577,14.008995,77.542393,-5.003551,4.676029
0.020000,189.524806,148.814246,1.871728,15.557548,77.427617,-5.738795,4.675605
0.020000,189.512144,148.472410,2.213799,17.103553,77.300237,-6.369011,4.675120
0.020000,189.498147,148.099736,2.586735,18.646809,77.162801,-6.871803,4.674571
0.020000,189.482757,147.696291,2.990474,20.186951,77.007114,-7.784352,4.673950
0.020000,189.465911,147.262142,3.424950,21.723784,76.841653,-8.273031,4.673253
0.020000,189.447531,146.797365,3.890090,23.256997,76.660670,-9.049178,4.672471
0.020000,189.427534,146.302041,4.385817,24.786348,76.467547,-9.656119,4.671600
0.020000,189.405822,145.776259,4.912047,26.311526,76.258908,-10.431970,4.670629
0.020000,189.382287,145.220111,5.468693,27.832280,76.037687,-11.061071,4.669553
0.020000,189.356804,144.633699,6.055658,29.348272,75.799616,-11.903547,4.668361
0.020000,189.329237,144.017131,6.672842,30.859205,75.546634,-12.649101,4.667045
0.020000,189.299431,143.370520,7.320140,32.364872,75.283356,-13.163908,4.665595
0.020000,189.267214,142.693991,7.997435,33.864792,74.995983,-14.368620,4.664000
0.020000,189.232395,141.987673,8.704611,35.358772,74.699019,-14.848201,4.662250
0.020000,189.194763,141.251708,9.441538,36.846354,74.379092,-15.996378,4.660333
0.020000,189.154082,140.486240,10.208086,38.327395,74.052069,-16.351131,4.658237
0.020000,189.110095,139.691431,11.004111,39.801264,73.693431,-17.931887,4.655949
0.020000,189.062518,138.867447,11.829468,41.267828,73.328170,-18.263079,4.653455
0.020000,189.011038,138.014470,12.683997,42.726451,72.931177,-19.849640,4.650741
0.020000,188.955315,137.132690,13.567536,44.176956,72.525247,-20.296484,4.647793
0.020000,188.894976,136.222312,14.479911,45.618760,72.090193,-21.752693,4.644594
0.020000,188.829614,135.283556,15.420940,47.051453,71.634637,-22.777836,4.641127
0.020000,188.758866,134.317733,16.389351,48.420524,68.453575,-159.053096,4.637379
0.020000,188.682435,133.327238,17.382790,49.671961,62.571864,-294.085540,4.633342
0.020000,188.600020,132.314460,18.398916,50.806314,56.717627,-292.711832,4.629008
0.020000,188.511321,131.281783,19.435394,51.823919,50.880249,-291.868901,4.624369
0.020000,188.416044,130.231587,20.489904,52.725493,45.078703,-290.077327,4.619419
0.020000,188.313905,129.166240,21.560136,53.511575,39.304120,-288.729151,4.614154
0.020000,188.204636,128.088105,22.643794,54.182932,33.567812,-286.815381,4.608570
