dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,193.529576,178.820123,0.001143,0.114286,5.714286,285.714286,1.605383
0.020000,193.529574,178.820188,0.001208,0.003279,-5.550342,-563.231405,1.605377
0.020000,193.529569,178.820335,0.001356,0.007367,0.204407,287.737449,1.605364
0.020000,193.529560,178.820596,0.001617,0.013061,0.284708,4.015063,1.605340
0.020000,193.529546,178.821002,0.002023,0.020317,0.362767,3.902969,1.605303
0.020000,193.529100,178.833950,0.014979,0.647765,31.372427,1550.482975,1.605249
0.020000,193.527146,178.890700,0.071762,2.839175,109.570482,3909.902777,1.605178
0.020000,193.524600,178.964810,0.145915,3.707666,43.424574,-3307.295430,1.605085
0.020000,193.521389,179.058584,0.239745,4.691471,49.190236,288.283115,1.604970
0.020000,193.517440,179.174323,0.355551,5.790328,54.942857,287.631066,1.604831
0.020000,193.512685,179.314320,0.495629,7.003894,60.678288,286.771541,1.604668
0.020000,193.507058,179.480862,0.662266,8.331818,66.396214,285.896310,1.604479
0.020000,193.500496,179.676223,0.857737,9.773576,72.087873,284.582928,1.604266
0.020000,193.492941,179.902670,1.084310,11.328654,77.753944,283.303571,1.604031
0.020000,193.484375,180.161301,1.343083,12.938650,80.499785,137.292016,1.603777
0.020000,193.474822,180.452050,1.633989,14.545299,80.332426,-8.367927,1.603511
0.020000,193.464303,180.774843,1.956953,16.148194,80.144779,-9.382372,1.603240
0.020000,193.452837,181.129596,2.311891,17.746898,79.935202,-10.478811,1.602972
0.020000,193.440444,181.516218,2.698712,19.341026,79.706403,-11.439960,1.602714
0.020000,193.427137,181.934609,3.117315,20.930155,79.456448,-12.497755,1.602476
0.020000,193.412924,182.384662,3.567592,22.513884,79.186447,-13.500066,1.602268
0.020000,193.397805,182.866261,4.049428,24.091788,78.895201,-14.562311,1.602100
0.020000,193.381773,183.379280,4.562697,25.663451,78.583152,-15.602418,1.601984
0.020000,193.364809,183.923585,5.107266,27.228463,78.250604,-16.627394,1.601932
0.020000,193.346884,184.499033,5.682994,28.786399,77.896778,-17.691306,1.601957
0.020000,193.327950,185.105475,6.289731,30.336831,77.521586,-18.759612,1.602072
0.020000,193.307947,185.742747,6.927318,31.879328,77.124875,-19.835542,1.602293
0.020000,193.286795,186.410681,7.595587,33.413452,76.706191,-20.934227,1.602634
0.020000,193.264392,187.109097,8.294361,34.938731,76.263976,-22.110739,1.603112
0.020000,193.240613,187.837804,9.023456,36.454729,75.799862,-23.205712,1.603743
0.020000,193.215309,188.596601,9.782675,37.960949,75.311008,-24.442661,1.604546
0.020000,193.188300,189.385276,10.571812,39.456880,74.796535,-25.723648,1.605539
0.020000,193.159377,190.203606,11.390653,40.942028,74.257430,-26.955256,1.606742
0.020000,193.128295,191.051352,12.238969,42.415821,73.689622,-28.390389,1.608176
0.020000,193.094776,191.928267,13.116524,43.877739,73.095919,-29.685153,1.609863
0.020000,193.058498,192.834083,14.023066,45.327108,72.468471,-31.372441,1.611824
0.020000,193.019099,193.768520,14.958334,46.763362,71.812656,-32.790753,1.614086
0.020000,192.976170,194.731279,15.922049,48.185773,71.120560,-34.604792,1.616672
0.020000,192.929251,195.722042,16.913923,49.593704,70.396584,-36.198762,1.619609
0.020000,192.877832,196.740470,17.933648,50.986261,69.627829,-38.437787,1.622925
0.020000,192.821345,197.786202,18.980905,52.362811,68.827477,-40.017579,1.626650
0.020000,192.759162,198.858848,20.055352,53.722367,67.977816,-42.483044,1.630815
0.020000,192.690590,199.957992,21.156633,55.064037,67.083498,-44.715899,1.635452
0.020000,192.614869,201.083185,22.284370,56.386885,66.142416,-47.054111,1.640596
0.020000,192.531169,202.233944,23.438169,57.689921,65.151773,-49.532157,1.646283
0.020000,192.438581,203.409742,24.617607,58.971903,64.099130,-52.632144,1.652551
0.020000,192.336120,204.610015,25.822245,60.231932,63.001426,-54.885186,1.659441
0.020000,192.222715,205.834145,27.051617,61.468600,61.833435,-58.399583,1.666996
0.020000,192.097209,207.081465,28.305236,62.680904,60.615165,-60.913494,1.675259
0.020000,191.958354,208.351245,29.582585,63.867454,59.327499,-64.383315,1.684278
0.020000,191.804937,209.641646,30.882074,64.974449,55.349771,-198.886380,1.694094
0.020000,191.635832,210.949748,32.201062,65.949400,48.747522,-330.112457,1.704739
0.020000,191.449904,212.272619,33.536934,66.793638,42.211904,-326.780884,1.716244
0.020000,191.246030,213.607308,34.887104,67.508488,35.742498,-323.470301,1.728636
0.020000,191.023106,214.950863,36.249028,68.096174,29.384323,-317.908746,1.741939
0.020000,190.780071,216.300330,37.620205,68.558857,23.134130,-312.509665,1.756171
0.020000,190.515918,217.652758,38.998189,68.899198,17.017047,-305.854157,1.771349
0.020000,190.229713,219.005219,40.380601,69.120622,11.071201,-297.292265,1.787479
0.020000,189.920615,220.354810,41.765136,69.226765,5.307150,-288.202582,1.804565
0.020000,189.587892,221.698674,43.149576,69.221982,-0.239108,-277.312902,1.822600
0.020000,189.230938,223.034008,44.531797,69.111040,-5.547147,-265.401948,1.841569
0.020000,188.849289,224.358087,45.909781,68.899219,-10.591029,-252.194095,1.861447
0.020000,188.442639,225.668276,47.281626,68.592257,-15.348111,-237.854072,1.882200
0.020000,188.010855,226.962050,48.645550,68.196208,-19.802434,-222.716171,1.903782
0.020000,187.553649,228.237914,50.000861,67.765518,-21.534517,-86.604167,1.926151
0.020000,187.070496,229.495353,51.347928,67.353344,-20.608666,46.292550,1.949274
0.020000,186.560916,230.733893,52.687202,66.963691,-19.482684,56.299118,1.973108
0.020000,186.024473,231.953113,54.019218,66.600805,-18.144267,66.920841,1.997607
0.020000,185.460776,233.152640,55.344593,66.268780,-16.601263,77.150183,2.022712
0.020000,184.869481,234.332160,56.664024,65.971522,-14.862893,86.918529,2.048361
0.020000,184.250286,235.491409,57.978277,65.712651,-12.943545,95.967397,2.074483
0.020000,183.602933,236.630181,59.288188,65.495550,-10.855057,104.424403,2.101002
0.020000,182.927213,237.748318,60.594644,65.322815,-8.636747,110.915500,2.127836
0.020000,182.222964,238.845708,61.898574,65.196482,-6.316680,116.003365,2.154902
0.020000,181.490075,239.922273,63.200924,65.117525,-3.947850,118.441476,2.182112
0.020000,180.728489,240.977974,64.502661,65.086831,-1.534692,120.657926,2.209378
0.020000,179.938204,242.012796,65.804739,65.103911,0.854034,119.436259,2.236613
0.020000,179.119286,243.026739,67.108084,65.167237,3.166298,115.613213,2.263732
0.020000,178.271866,244.019821,68.413584,65.275031,5.389697,111.169947,2.290653
0.020000,177.396140,244.992072,69.722083,65.424918,7.494319,105.231130,2.317301
0.020000,176.492378,245.943529,71.034353,65.613536,9.430907,96.829382,2.343605
0.020000,175.560936,246.874222,72.351082,65.836450,11.145708,85.740068,2.369500
0.020000,174.602214,247.784216,73.672913,66.091553,12.755126,80.470878,2.394930
0.020000,173.616709,248.673556,75.000372,66.372908,14.067760,65.631707,2.419845
0.020000,172.604978,249.542308,76.333912,66.677004,15.204792,56.851595,2.444204
0.020000,171.567641,250.390545,77.673902,66.999535,16.126587,46.089746,2.467972
0.020000,170.505355,251.218370,79.020656,67.337674,16.906937,39.017485,2.491124
0.020000,169.418860,252.025875,80.374368,67.685614,17.396990,24.502658,2.513638
0.020000,168.313743,252.812798,81.731030,67.833085,7.373564,-501.171294,2.527048
0.020000,167.026454,253.719023,83.305310,78.713986,544.045017,26833.572639,2.529400
0.020000,165.739308,254.620371,84.876670,78.568040,-7.297252,-27567.113420,2.532018
