dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,204.460535,179.198340,0.001128,0.112782,5.639098,281.954887,1.605383
0.020000,204.460535,179.198340,0.005639,0.338346,11.278195,281.954887,1.605377
0.020000,204.460535,179.198340,0.015789,0.676692,16.917293,281.954887,1.605364
0.020000,204.460535,179.198340,0.033835,1.127820,22.556391,281.954887,1.605340
0.020000,204.460535,179.198340,0.062030,1.691729,28.195489,281.954887,1.605304
0.020000,204.460156,179.209339,0.102632,2.368421,33.834586,281.954887,1.605251
0.020000,204.458254,179.264570,0.157895,3.157895,39.473684,281.954887,1.605181
0.020000,204.455776,179.336708,0.230075,4.060150,45.112782,281.954887,1.605089
0.020000,204.452649,179.428007,0.321429,5.075188,50.751880,281.954887,1.604976
0.020000,204.448803,179.540724,0.434211,6.203008,56.390977,281.954887,1.604838
0.020000,204.444169,179.677111,0.570677,7.443609,62.030075,281.954887,1.604676
0.020000,204.438683,179.839425,0.733083,8.796992,67.669173,281.954887,1.604490
0.020000,204.432282,180.029919,0.923684,10.263158,73.308271,281.954887,1.604279
0.020000,204.424908,180.250848,1.144737,11.842105,78.947368,281.954887,1.604046
0.020000,204.416542,180.503341,1.397368,13.421053,78.947368,-0.000000,1.603795
0.020000,204.407203,180.787398,1.681579,15.000000,78.947368,0.000000,1.603531
0.020000,204.396911,181.103020,1.997368,16.578947,78.947368,-0.000000,1.603262
0.020000,204.385682,181.450207,2.344737,18.157895,78.947368,0.000000,1.602994
0.020000,204.373533,181.828960,2.723684,19.736842,78.947368,-0.000000,1.602737
0.020000,204.360473,182.239278,3.134211,21.315789,78.947368,0.000000,1.602498
0.020000,204.346509,182.681163,3.576316,22.894737,78.947368,0.000000,1.602287
0.020000,204.331637,183.154614,4.050000,24.473684,78.947368,-0.000000,1.602116
0.020000,204.315848,183.659630,4.555263,26.052632,78.947368,0.000000,1.601994
0.020000,204.299122,184.196212,5.092105,27.631579,78.947368,0.000000,1.601934
