dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,215.391494,179.576558,0.001128,0.112782,5.639098,281.954887,1.605383
0.020000,215.391496,179.576494,0.001193,0.003236,-5.477310,-555.820396,1.605377
0.020000,215.391501,179.576348,0.001338,0.007270,0.201726,283.951786,1.605364
0.020000,215.391510,179.576091,0.001596,0.012890,0.280993,3.963353,1.605340
0.020000,215.391524,179.575690,0.001997,0.020052,0.358076,3.854189,1.605304
0.020000,215.391164,179.586116,0.012429,0.521602,25.077531,1235.972724,1.605251
0.020000,215.389289,179.640573,0.066918,2.724472,110.143473,4253.297130,1.605181
0.020000,215.386845,179.711713,0.138101,3.559130,41.732931,-3420.527131,1.605089
0.020000,215.383761,179.801772,0.228212,4.505553,47.321116,279.409264,1.604976
0.020000,215.379966,179.912987,0.339492,5.563991,52.921931,280.040765,1.604838
0.020000,215.375392,180.047604,0.474187,6.734753,58.538078,280.807326,1.604676
0.020000,215.369975,180.207878,0.634552,8.018244,64.174537,281.822947,1.604490
0.020000,215.363652,180.396069,0.822849,9.414878,69.831703,282.858309,1.604279
0.020000,215.356363,180.614452,1.041354,10.925240,75.518102,284.319957,1.604046
0.020000,215.348088,180.864198,1.291238,12.494175,78.446765,146.433121,1.603795
0.020000,215.338843,181.145373,1.572564,14.066346,78.608527,8.088119,1.603531
0.020000,215.328647,181.458051,1.885408,15.642191,78.792260,9.186657,1.603262
0.020000,215.317513,181.802313,2.229850,17.222087,78.994789,10.126462,1.602994
0.020000,215.305454,182.178249,2.605979,18.806461,79.218723,11.196703,1.602737
0.020000,215.292478,182.585956,3.013893,20.395696,79.461750,12.151336,1.602498
0.020000,215.278586,183.025541,3.453697,21.990200,79.725222,13.173580,1.602287
0.020000,215.263773,183.497115,3.925504,23.590365,80.008231,14.150461,1.602116
0.020000,215.248026,184.000802,4.429437,25.196614,80.312442,15.210556,1.601994
0.020000,215.231320,184.536728,4.965624,26.809341,80.636370,16.196376,1.601934
0.020000,215.213618,185.105032,5.534203,28.428957,80.980783,17.220679,1.601949
0.020000,215.194869,185.705857,6.135320,30.055877,81.346017,18.261679,1.602051
0.020000,215.175003,186.339356,6.769131,31.690522,81.732217,19.310030,1.602255
0.020000,215.153933,187.005689,7.435797,33.333328,82.140324,20.405335,1.602576
0.020000,215.131550,187.705025,8.135491,34.984711,82.569142,21.440872,1.603029
0.020000,215.107718,188.437541,8.868395,36.645165,83.022714,22.678612,1.603631
0.020000,215.082276,189.203421,9.634697,38.315119,83.497665,23.747562,1.604400
0.020000,215.055030,190.002858,10.434598,39.995068,83.997457,24.989617,1.605353
0.020000,215.025755,190.836054,11.268309,41.685511,84.522173,26.235776,1.606511
0.020000,214.994185,191.703219,12.136048,43.386958,85.072335,27.508100,1.607892
0.020000,214.960014,192.604572,13.038048,45.100030,85.653625,29.064500,1.609518
0.020000,214.922890,193.540340,13.974552,46.825198,86.258385,30.238029,1.611412
0.020000,214.882410,194.510759,14.945815,48.563127,86.896463,31.903854,1.613597
0.020000,214.838117,195.516074,15.952105,50.314517,87.569501,33.651932,1.616097
0.020000,214.789549,196.555374,16.992540,52.021743,85.361292,-110.410475,1.618934
0.020000,214.736252,197.626581,18.065072,53.626580,80.241850,-255.972095,1.622129
0.020000,214.677742,198.727593,19.167637,55.128276,75.084805,-257.852239,1.625697
0.020000,214.613500,199.856290,20.298161,56.526210,69.896676,-259.406459,1.629657
0.020000,214.542985,201.010527,21.454550,57.819441,64.661542,-261.756682,1.634022
0.020000,214.465635,202.188134,22.634695,59.007218,59.388879,-263.633150,1.638806
0.020000,214.380875,203.386907,23.836461,60.088298,54.054005,-266.743707,1.644020
0.020000,214.288124,204.604618,25.057698,61.061890,48.679562,-268.722166,1.649674
0.020000,214.186805,205.839000,26.296232,61.926678,43.239403,-272.007948,1.655775
0.020000,214.076348,207.087751,27.549859,62.681359,37.734083,-275.265969,1.662329
0.020000,213.956208,208.348535,28.816354,63.324728,32.168422,-278.283081,1.669336
0.020000,213.825867,209.618968,30.093456,63.855095,26.518378,-282.502164,1.676798
0.020000,213.684852,210.896628,31.378874,64.270919,20.791165,-286.360693,1.684711
0.020000,213.532741,212.179053,32.670288,64.570704,14.989282,-290.094145,1.693070
0.020000,213.369021,213.464941,33.966557,64.813446,12.137081,-142.610059,1.701872
0.020000,213.193034,214.754175,35.267747,65.059501,12.302773,8.284629,1.711124
0.020000,213.004112,216.046618,36.573925,65.308898,12.469836,8.353142,1.720832
0.020000,212.801575,217.342105,37.885149,65.561210,12.615596,7.288019,1.731002
0.020000,212.584731,218.640453,39.201480,65.816558,12.767388,7.589585,1.741638
0.020000,212.352880,219.941442,40.522967,66.074354,12.889805,6.120872,1.752746
0.020000,212.105312,221.244829,41.849657,66.334500,13.007305,5.874986,1.764330
0.020000,211.841313,222.550334,43.181588,66.596508,13.100420,4.655750,1.776393
0.020000,211.560165,223.857640,44.518784,66.859800,13.164566,3.207274,1.788937
0.020000,211.261148,225.166398,45.861266,67.124136,13.216828,2.613139,1.801965
0.020000,210.943544,226.476212,47.209036,67.388496,13.218009,0.059024,1.815476
0.020000,210.606643,227.786644,48.562083,67.652356,13.193002,-1.250339,1.829470
0.020000,210.249744,229.097218,49.920384,67.915023,13.133320,-2.984114,1.843945
0.020000,209.872159,230.407402,51.283891,68.175373,13.017522,-5.789914,1.858895
0.020000,209.473223,231.716621,52.652542,68.432553,12.858985,-7.926827,1.874316
0.020000,209.052293,233.024253,54.026253,68.685532,12.648974,-10.500557,1.890199
0.020000,208.608758,234.329622,55.404916,68.933156,12.381206,-13.388386,1.906536
0.020000,208.142045,235.632007,56.788400,69.174208,12.052567,-16.431957,1.923313
0.020000,207.651622,236.930639,58.176550,69.407484,11.663810,-19.437858,1.940517
0.020000,207.137008,238.224702,59.569183,69.631671,11.209368,-22.722088,1.958131
0.020000,206.597778,239.513339,60.966092,69.845431,10.687994,-26.068724,1.976135
0.020000,206.033569,240.795654,62.367043,70.047538,10.105346,-29.132389,1.994510
0.020000,205.444085,242.070717,63.771776,70.236679,9.457045,-32.415045,2.013230
0.020000,204.829106,243.337564,65.180003,70.411337,8.732900,-36.207262,2.032270
0.020000,204.188486,244.595220,66.591418,70.570733,7.969810,-38.154507,2.051602
0.020000,203.522165,245.842689,68.005689,70.713554,7.141047,-41.438121,2.071194
0.020000,202.830167,247.078964,69.422459,70.838515,6.248027,-44.651032,2.091015
0.020000,202.112598,248.303055,70.841369,70.945474,5.347951,-45.003768,2.111032
0.020000,201.369661,249.513963,72.262021,71.032632,4.357894,-49.502853,2.131208
0.020000,200.601632,250.710732,73.684034,71.100664,3.401613,-47.814038,2.151509
0.020000,199.808884,251.892418,75.107000,71.148289,2.381238,-51.018752,2.171897
0.020000,198.991865,253.058120,76.530511,71.175524,1.361786,-50.972638,2.192334
0.020000,198.151098,254.206992,77.954167,71.182807,0.364127,-49.882916,2.212785
0.020000,197.287178,255.338235,79.377567,71.169985,-0.641091,-50.260888,2.233213
0.020000,196.400768,256.451111,80.800316,71.137489,-1.624804,-49.185684,2.253581
0.020000,195.492582,257.544951,82.222036,71.085963,-2.576315,-47.575537,2.273855
0.020000,194.563387,258.619157,83.642361,71.016257,-3.485275,-45.448004,2.294001
0.020000,193.613985,259.673210,85.060949,70.929419,-4.341897,-42.831109,2.313988
0.020000,192.645223,260.706653,86.477460,70.825557,-5.193138,-42.562037,2.333786
0.020000,191.657952,261.719126,87.891605,70.707239,-5.915866,-36.136402,2.353367
0.020000,190.653055,262.710330,89.303094,70.574467,-6.638588,-36.136103,2.372705
0.020000,189.631407,263.680057,90.711688,70.429684,-7.239148,-30.028013,2.391778
0.020000,188.593897,264.628159,92.117151,70.273124,-7.828020,-29.443581,2.410565
0.020000,187.541405,265.554556,93.519274,70.106181,-8.347163,-25.957166,2.429047
0.020000,186.474792,266.459246,94.917890,69.930789,-8.769605,-21.122099,2.447208
0.020000,185.394908,267.342279,96.312845,69.747732,-9.152844,-19.161958,2.465035
0.020000,184.302564,268.203774,97.704027,69.559110,-9.431072,-13.911369,2.482516
0.020000,183.198558,269.043894,99.091338,69.365545,-9.678294,-12.361108,2.499643
0.020000,182.083671,269.862838,100.474682,69.167216,-9.916412,-11.905917,2.516407
0.020000,181.092425,270.568386,101.691386,60.835178,-416.601914,-20334.275062,2.526773
0.020000,180.096266,271.270531,102.910130,60.937245,5.103353,21085.263345,2.528487
0.020000,179.097513,271.971834,104.130513,61.019127,4.094096,-50.462854,2.530350
