dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000737,38.759781,0.001143,0.114286,5.714286,285.714286,0.032895
0.020000,6.000474,38.759772,0.001406,0.013171,-5.055711,-538.499851,0.032916
0.020000,5.999881,38.759753,0.001999,0.029635,0.823158,293.943465,0.032962
0.020000,5.998828,38.759718,0.003053,0.052680,1.152253,16.454766,0.033045
0.020000,5.997183,38.759663,0.004699,0.082302,1.481091,16.441882,0.033173
0.020000,5.994815,38.759584,0.007068,0.118492,1.809506,16.420767,0.033359
0.020000,5.991592,38.759476,0.010293,0.161238,2.137293,16.389337,0.033611
0.020000,6.025045,38.760610,0.043766,1.673640,75.620132,3674.141944,0.033941
0.020000,6.112240,38.763589,0.131012,4.362290,134.432497,2940.618246,0.034357
0.020000,6.219888,38.767316,0.238723,5.385583,51.164640,-4163.392828,0.034872
0.020000,6.350140,38.771901,0.369057,6.516678,56.554775,269.506748,0.035494
0.020000,6.505160,38.777463,0.524177,7.755986,61.965367,270.529603,0.036233
0.020000,6.687095,38.784137,0.706233,9.102830,67.342234,268.843346,0.037101
0.020000,6.898098,38.792075,0.917386,10.557628,72.739903,269.883426,0.038106
0.020000,7.139255,38.801407,1.158724,12.066895,75.463316,136.170644,0.039253
0.020000,7.410563,38.812238,1.430247,13.576166,75.463540,0.011206,0.040542
0.020000,7.712024,38.824682,1.731966,15.085932,75.488296,1.237832,0.041973
0.020000,8.043641,38.838870,2.063886,16.595991,75.502970,0.733677,0.043544
0.020000,8.405418,38.854944,2.426019,18.106694,75.535147,1.608869,0.045254
0.020000,8.797358,38.873056,2.818378,19.617941,75.562336,1.359443,0.047104
0.020000,9.219462,38.893374,3.240971,21.129640,75.584991,1.132727,0.049092
0.020000,9.671729,38.916077,3.693807,22.641775,75.606716,1.086251,0.051217
0.020000,10.154170,38.941355,4.176910,24.155153,75.668899,3.109162,0.053478
0.020000,10.666778,38.969410,4.690285,25.668794,75.682041,0.657125,0.055874
0.020000,11.209558,39.000458,5.233952,27.183350,75.727823,2.289090,0.058404
0.020000,11.782511,39.034725,5.807929,28.698805,75.772737,2.245694,0.061066
0.020000,12.385634,39.072447,6.412230,30.215091,75.814326,2.079435,0.063859
0.020000,13.018933,39.113873,7.046883,31.732637,75.877309,3.149142,0.066781
0.020000,13.682401,39.159263,7.711901,33.250911,75.913678,1.818473,0.069831
0.020000,14.376043,39.208887,8.407316,34.770743,75.991599,3.896030,0.073006
0.020000,15.099850,39.263025,9.133146,36.291486,76.037149,2.277516,0.076305
0.020000,15.853821,39.321968,9.889417,37.813568,76.104115,3.348307,0.079727
0.020000,16.637953,39.386015,10.676160,39.337132,76.178212,3.704832,0.083267
0.020000,17.452240,39.455477,11.493405,40.862248,76.255800,3.879423,0.086926
0.020000,18.296673,39.530672,12.341179,42.388696,76.322359,3.327916,0.090699
0.020000,19.171244,39.611928,13.219516,43.916880,76.409207,4.342412,0.094584
0.020000,20.075946,39.699581,14.128455,45.446940,76.503020,4.690678,0.098579
0.020000,21.010770,39.793973,15.068032,46.978857,76.595827,4.640334,0.102681
0.020000,21.975701,39.895455,16.038285,48.512628,76.688566,4.636938,0.106886
0.020000,22.970721,40.004386,17.039250,50.048271,76.782161,4.679737,0.111191
0.020000,23.995825,40.121129,18.070980,51.586465,76.909709,6.377434,0.115594
0.020000,25.050987,40.246054,19.133512,53.126593,77.006396,4.834331,0.120090
0.020000,26.136192,40.379536,20.226895,54.669185,77.129565,6.158446,0.124676
