dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.421104,25.985445,0.001143,0.114286,5.714286,285.714286,0.032895
0.020000,6.421104,25.985445,0.005714,0.342857,11.428571,285.714286,0.032916
0.020000,6.421104,25.985445,0.016000,0.685714,17.142857,285.714286,0.032962
0.020000,6.421104,25.985445,0.034286,1.142857,22.857143,285.714286,0.033045
0.020000,6.421104,25.985445,0.062857,1.714286,28.571429,285.714286,0.033173
0.020000,6.421104,25.985445,0.104000,2.400000,34.285714,285.714286,0.033359
0.020000,6.421104,25.985445,0.160000,3.200000,40.000000,285.714286,0.033611
0.020000,6.458766,25.986721,0.233143,4.114286,45.714286,285.714286,0.033941
0.020000,6.551285,25.989882,0.325714,5.142857,51.428571,285.714286,0.034357
0.020000,6.665501,25.993837,0.440000,6.285714,57.142857,285.714286,0.034872
0.020000,6.803699,25.998701,0.578286,7.542857,62.857143,285.714286,0.035494
0.020000,6.968166,26.004602,0.742857,8.914286,68.571429,285.714286,0.036233
0.020000,7.161180,26.011682,0.936000,10.400000,74.285714,285.714286,0.037101
0.020000,7.385019,26.020103,1.160000,12.000000,80.000000,285.714286,0.038106
0.020000,7.640830,26.030003,1.416000,13.600000,80.000000,-0.000000,0.039253
0.020000,7.928601,26.041490,1.704000,15.200000,80.000000,0.000000,0.040542
0.020000,8.248329,26.054689,2.024000,16.800000,80.000000,0.000000,0.041973
0.020000,8.600006,26.069735,2.376000,18.400000,80.000000,0.000000,0.043544
0.020000,8.983627,26.086779,2.760000,20.000000,80.000000,-0.000000,0.045254
0.020000,9.399185,26.105983,3.176000,21.600000,80.000000,0.000000,0.047104
0.020000,9.846667,26.127523,3.624000,23.200000,80.000000,0.000000,0.049092
0.020000,10.326060,26.151587,4.104000,24.800000,80.000000,0.000000,0.051217
0.020000,10.837361,26.178377,4.616000,26.400000,80.000000,0.000000,0.053478
0.020000,11.380549,26.208106,5.160000,28.000000,80.000000,0.000000,0.055874
0.020000,11.955608,26.241001,5.736000,29.600000,80.000000,-0.000000,0.058404
0.020000,12.562524,26.277298,6.344000,31.200000,80.000000,0.000000,0.061066
0.020000,13.201273,26.317249,6.984000,32.800000,80.000000,0.000000,0.063859
0.020000,13.871841,26.361113,7.656000,34.400000,80.000000,-0.000000,0.066781
0.020000,14.574196,26.409163,8.360000,36.000000,80.000000,0.000000,0.069831
0.020000,15.308322,26.461683,9.096000,37.600000,80.000000,0.000000,0.073006
0.020000,16.074182,26.518967,9.864000,39.200000,80.000000,0.000000,0.076305
0.020000,16.871747,26.581317,10.664000,40.800000,80.000000,-0.000000,0.079727
0.020000,17.700985,26.649049,11.496000,42.400000,80.000000,0.000000,0.083267
0.020000,18.561860,26.722485,12.360000,44.000000,80.000000,-0.000000,0.086926
0.020000,19.454327,26.801957,13.256000,45.600000,80.000000,0.000000,0.090699
0.020000,20.378344,26.887807,14.184000,47.200000,80.000000,-0.000000,0.094584
0.020000,21.333869,26.980383,15.144000,48.800000,80.000000,0.000000,0.098579
0.020000,22.320851,27.080042,16.136000,50.400000,80.000000,0.000000,0.102681
0.020000,23.339235,27.187146,17.160000,52.000000,80.000000,0.000000,0.106886
0.020000,24.388960,27.302065,18.216000,53.600000,80.000000,0.000000,0.111191
0.020000,25.469974,27.425176,19.304000,55.200000,80.000000,0.000000,0.115594
0.020000,26.582205,27.556857,20.424000,56.800000,80.000000,-0.000000,0.120090
0.020000,27.725587,27.697494,21.576000,58.400000,80.000000,0.000000,0.124676
0.020000,28.900048,27.847477,22.760000,60.000000,80.000000,-0.000000,0.129348
0.020000,30.105510,28.007196,23.976000,61.600000,80.000000,0.000000,0.134102
0.020000,31.341897,28.177047,25.224000,63.200000,80.000000,0.000000,0.138934
0.020000,32.609122,28.357424,26.504000,64.800000,80.000000,-0.000000,0.143839
0.020000,33.907098,28.548725,27.816000,66.400000,80.000000,0.000000,0.148812
0.020000,35.235735,28.751345,29.160000,68.000000,80.000000,0.000000,0.153850
0.020000,36.594939,28.965680,30.536000,69.600000,80.000000,-0.000000,0.158947
0.020000,37.983482,29.191936,31.942857,71.085714,74.285714,-285.714286,0.164094
0.020000,39.399011,29.430102,33.378286,72.457143,68.571429,-285.714286,0.169277
0.020000,40.839185,29.680116,34.840000,73.714286,62.857143,-285.714286,0.174484
0.020000,42.301659,29.941861,36.325714,74.857143,57.142857,-285.714286,0.179702
0.020000,43.784103,30.215169,37.833143,75.885714,51.428571,-285.714286,0.184918
0.020000,45.284190,30.499820,39.360000,76.800000,45.714286,-285.714286,0.190121
0.020000,46.799604,30.795537,40.904000,77.600000,40.000000,-285.714286,0.195300
0.020000,48.328040,31.101991,42.462857,78.285714,34.285714,-285.714286,0.200442
0.020000,49.867200,31.418801,44.034286,78.857143,28.571429,-285.714286,0.205539
0.020000,51.414798,31.745533,45.616000,79.314286,22.857143,-285.714286,0.210579
0.020000,52.968560,32.081701,47.205714,79.657143,17.142857,-285.714286,0.215553
0.020000,54.526223,32.426773,48.801143,79.885714,11.428571,-285.714286,0.220453
0.020000,56.085534,32.780165,50.400000,80.000000,5.714286,-285.714286,0.225269
0.020000,57.644256,33.141250,52.000000,80.000000,0.000000,-285.714286,0.229994
0.020000,59.201271,33.509623,53.600000,80.000000,0.000000,0.000000,0.234625
0.020000,60.756582,33.885128,55.200000,80.000000,0.000000,0.000000,0.239160
0.020000,62.310192,34.267608,56.800000,80.000000,0.000000,0.000000,0.243599
0.020000,63.862108,34.656907,58.400000,80.000000,0.000000,0.000000,0.247943
0.020000,65.412337,35.052868,60.000000,80.000000,0.000000,0.000000,0.252190
0.020000,66.960890,35.455334,61.600000,80.000000,0.000000,0.000000,0.256340
0.020000,68.507780,35.864148,63.200000,80.000000,0.000000,0.000000,0.260393
0.020000,70.053020,36.279154,64.800000,80.000000,0.000000,0.000000,0.264349
0.020000,71.596626,36.700194,66.400000,80.000000,0.000000,0.000000,0.268207
0.020000,73.138618,37.127112,68.000000,80.000000,0.000000,0.000000,0.271968
0.020000,74.679014,37.559750,69.600000,80.000000,0.000000,0.000000,0.275631
0.020000,76.217837,37.997954,71.200000,80.000000,0.000000,0.000000,0.279197
0.020000,77.755109,38.441566,72.800000,80.000000,0.000000,0.000000,0.282664
0.020000,79.290856,38.890430,74.400000,80.000000,0.000000,0.000000,0.286034
0.020000,80.825104,39.344392,76.000000,80.000000,0.000000,0.000000,0.289305
0.020000,82.357881,39.803295,77.600000,80.000000,0.000000,0.000000,0.292479
0.020000,83.889216,40.266985,79.200000,80.000000,0.000000,0.000000,0.295554
0.020000,85.419142,40.735308,80.800000,80.000000,0.000000,0.000000,0.298531
0.020000,86.947690,41.208108,82.400000,80.000000,0.000000,0.000000,0.301411
0.020000,88.474893,41.685232,84.000000,80.000000,0.000000,0.000000,0.304192
