dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.095914,15.052781,0.001143,0.114286,5.714286,285.714286,6.253449
0.020000,6.096065,15.052776,0.001293,0.007512,-5.338663,-552.647425,6.253463
0.020000,6.096402,15.052766,0.001631,0.016902,0.469491,290.407673,6.253494
0.020000,6.097003,15.052748,0.002232,0.030046,0.657181,9.384501,6.253549
0.020000,6.097941,15.052721,0.003171,0.046940,0.844708,9.376348,6.253635
0.020000,6.099292,15.052681,0.004522,0.067579,1.031968,9.362995,6.253758
0.020000,6.101131,15.052627,0.006362,0.091956,1.218830,9.343132,6.253926
0.020000,6.128276,15.051837,0.033518,1.357819,63.293167,3103.716839,6.254146
0.020000,6.223846,15.049074,0.129129,4.780527,171.135393,5392.111283,6.254424
0.020000,6.341830,15.045700,0.247161,5.901600,56.053649,-5754.087205,6.254766
0.020000,6.484592,15.041672,0.389979,7.140915,61.965749,295.604999,6.255181
0.020000,6.654487,15.036954,0.559940,8.498040,67.856234,294.524279,6.255673
0.020000,6.853874,15.031525,0.759400,9.973033,73.749636,294.670098,6.256251
0.020000,7.085110,15.025373,0.990719,11.565922,79.644448,294.740622,6.256920
0.020000,7.349373,15.018531,1.255070,13.217586,82.583245,146.939839,6.257684
0.020000,7.646662,15.011076,1.552452,14.869101,82.575752,-0.374677,6.258542
0.020000,7.976973,15.003091,1.882860,16.520358,82.562843,-0.645451,6.259493
0.020000,8.340301,14.994672,2.246285,18.171279,82.546021,-0.841085,6.260538
0.020000,8.736641,14.985920,2.642722,19.821842,82.528172,-0.892427,6.261675
0.020000,9.165990,14.976947,3.072165,21.472130,82.514375,-0.689863,6.262904
0.020000,9.628341,14.967874,3.534605,23.122035,82.495245,-0.956516,6.264224
0.020000,10.123688,14.958830,4.030034,24.771454,82.470949,-1.214813,6.265635
0.020000,10.652022,14.949953,4.558444,26.420457,82.450173,-1.038798,6.267135
0.020000,11.213338,14.941389,5.119824,28.069036,82.428934,-1.061928,6.268724
0.020000,11.807624,14.933293,5.714166,29.717084,82.402413,-1.326045,6.270401
0.020000,12.434870,14.925828,6.341456,31.364520,82.371787,-1.531305,6.272165
0.020000,13.095065,14.919163,7.001684,33.011405,82.344269,-1.375924,6.274014
0.020000,13.788194,14.913476,7.694837,34.657637,82.311593,-1.633804,6.275948
0.020000,14.514246,14.908955,8.420903,36.303286,82.282471,-1.456101,6.277966
0.020000,15.273204,14.905791,9.179867,37.948225,82.246926,-1.777237,6.280065
0.020000,16.065050,14.904184,9.971716,39.592415,82.209531,-1.869738,6.282246
0.020000,16.889766,14.904342,10.796432,41.235793,82.168881,-2.032497,0.001320
0.020000,17.747332,14.906477,11.654000,42.878418,82.131246,-1.881756,0.003658
0.020000,18.637725,14.910810,12.544404,44.520188,82.088482,-2.138207,0.006072
0.020000,19.560921,14.917566,13.467624,46.161006,82.040908,-2.378670,0.008561
0.020000,20.516894,14.926975,14.423643,47.800985,81.998981,-2.096360,0.011123
0.020000,21.505615,14.939276,15.412441,49.439893,81.945361,-2.680994,0.013756
0.020000,22.527057,14.954710,16.434000,51.077922,81.901471,-2.194534,0.016458
0.020000,23.581185,14.973522,17.488295,52.714766,81.842213,-2.962868,0.019228
0.020000,24.667964,14.995965,18.575306,54.350527,81.788049,-2.708195,0.022063
0.020000,25.787356,15.022291,19.695008,55.985114,81.729312,-2.936846,0.024962
0.020000,26.939327,15.052761,20.847382,57.618689,81.678783,-2.526481,0.027922
0.020000,28.123829,15.087635,22.032397,59.250747,81.602876,-3.795360,0.030940
0.020000,29.340822,15.127177,23.250032,60.881792,81.552252,-2.531167,0.034016
0.020000,30.590258,15.171654,24.500259,62.511335,81.477184,-3.753420,0.037145
0.020000,31.872086,15.221334,25.783050,64.139538,81.410112,-3.353618,0.040326
0.020000,33.186256,15.276487,27.098376,65.766310,81.338639,-3.573614,0.043556
0.020000,34.532712,15.337384,28.446209,67.391667,81.267849,-3.539494,0.046832
0.020000,35.911399,15.404296,29.826519,69.015484,81.190802,-3.852365,0.050152
0.020000,37.322256,15.477493,31.239274,70.637729,81.112270,-3.926591,0.053512
0.020000,38.764050,15.557181,32.683268,72.199708,78.098964,-150.665315,0.056908
0.020000,40.234378,15.643474,34.156125,73.642876,72.158378,-297.029301,0.060330
0.020000,41.730838,15.736454,35.655472,74.967312,66.221793,-296.829257,0.063771
0.020000,43.251033,15.836170,37.178934,76.173118,60.290304,-296.574433,0.067222
0.020000,44.792570,15.942632,38.724142,77.260414,54.364839,-296.273254,0.070676
0.020000,46.353058,16.055817,40.288730,78.229391,48.448823,-295.800798,0.074126
0.020000,47.930114,16.175665,41.870333,79.080167,42.538784,-295.501939,0.077564
0.020000,49.521358,16.302081,43.466591,79.812861,36.634694,-295.204503,0.080984
0.020000,51.124416,16.434933,45.075144,80.427667,30.740317,-294.718888,0.084378
0.020000,52.736921,16.574055,46.693639,80.924769,24.855133,-294.259191,0.087741
0.020000,54.356511,16.719246,48.319725,81.304263,18.974685,-294.022361,0.091066
0.020000,55.980832,16.870273,49.951052,81.566375,13.105596,-293.454449,0.094348
0.020000,57.607539,17.026869,51.585278,81.711307,7.246579,-292.950874,0.097582
0.020000,59.234289,17.188736,53.220062,81.739172,1.393254,-292.666264,0.100763
0.020000,60.859911,17.355668,54.854232,81.708530,-1.532112,-146.268267,0.103887
0.020000,62.484397,17.527567,56.487789,81.677810,-1.535991,-0.193964,0.106955
0.020000,64.107742,17.704337,58.120729,81.647026,-1.539177,-0.159297,0.109967
0.020000,65.729938,17.885882,59.753053,81.616177,-1.542462,-0.164235,0.112922
0.020000,67.350982,18.072103,61.384758,81.585253,-1.546213,-0.187586,0.115821
0.020000,68.970869,18.262904,63.015843,81.554273,-1.548968,-0.137738,0.118663
0.020000,70.589597,18.458188,64.646308,81.523244,-1.551476,-0.125406,0.121448
0.020000,72.207164,18.657858,66.276151,81.492175,-1.553437,-0.098036,0.124177
0.020000,73.823568,18.861817,67.905373,81.461056,-1.555960,-0.126148,0.126849
0.020000,75.438809,19.069969,69.533971,81.429899,-1.557839,-0.093957,0.129463
0.020000,77.052888,19.282215,71.161945,81.398710,-1.559447,-0.080415,0.132021
0.020000,78.665807,19.498460,72.789295,81.367493,-1.560877,-0.071489,0.134522
0.020000,80.277566,19.718607,74.416020,81.336248,-1.562243,-0.068317,0.136965
0.020000,81.888170,19.942560,76.042119,81.304981,-1.563320,-0.053810,0.139351
0.020000,83.497622,20.170222,77.667593,81.273697,-1.564200,-0.044016,0.141680
0.020000,85.105927,20.401496,79.292441,81.242399,-1.564929,-0.036431,0.143952
0.020000,86.713089,20.636287,80.916663,81.211082,-1.565832,-0.045179,0.146167
0.020000,88.319114,20.874499,82.540258,81.179759,-1.566171,-0.016947,0.148324
0.020000,89.924008,21.116035,84.163227,81.148431,-1.566400,-0.011450,0.150424
0.020000,91.527780,21.360801,85.785569,81.117099,-1.566599,-0.009951,0.152467
0.020000,93.130436,21.608701,87.407284,81.085762,-1.566834,-0.011739,0.154452
0.020000,94.731984,21.859639,89.028372,81.054418,-1.567209,-0.018744,0.156380
0.020000,96.332434,22.113521,90.648834,81.023085,-1.566662,0.027341,0.158251
0.020000,97.931795,22.370251,92.268669,80.991755,-1.566475,0.009345,0.160065
0.020000,99.530077,22.629735,93.887878,80.960431,-1.566216,0.012952,0.161821
0.020000,101.127290,22.891879,95.506460,80.929102,-1.566440,-0.011208,0.163520
0.020000,102.723445,23.156587,97.124415,80.897787,-1.565742,0.034911,0.165162
0.020000,104.318553,23.423766,98.741745,80.866485,-1.565097,0.032245,0.166746
0.020000,105.912627,23.693323,100.358449,80.835193,-1.564610,0.024365,0.168273
0.020000,107.505678,23.965163,101.974527,80.803907,-1.564290,0.015977,0.169743
0.020000,109.097719,24.239192,103.589980,80.772625,-1.564115,0.008752,0.171156
0.020000,110.688763,24.515318,105.204807,80.741366,-1.562943,0.058627,0.172512
0.020000,112.278824,24.793448,106.819009,80.710119,-1.562335,0.030358,0.173810
0.020000,113.867915,25.073488,108.432587,80.678885,-1.561716,0.030972,0.175052
0.020000,115.456050,25.355347,110.045540,80.647651,-1.561709,0.000327,0.176236
0.020000,117.043244,25.638930,111.657869,80.616440,-1.560558,0.057595,0.177363
0.020000,118.629511,25.924148,113.269574,80.585244,-1.559789,0.038404,0.178433
0.020000,120.214867,26.210906,114.880655,80.554061,-1.559162,0.031361,0.179447
0.020000,121.799326,26.499113,116.491113,80.522884,-1.558831,0.016568,0.180403
0.020000,123.382903,26.788678,118.100947,80.491718,-1.558286,0.027236,0.181302
0.020000,124.965616,27.079510,119.710158,80.460572,-1.557303,0.049158,0.182144
0.020000,126.547479,27.371515,121.318747,80.429438,-1.556740,0.028167,0.182929
0.020000,128.128508,27.664605,122.926713,80.398313,-1.556234,0.025281,0.183658
0.020000,129.708720,27.958687,124.534057,80.367190,-1.556164,0.003492,0.184329
0.020000,131.288131,28.253671,126.140779,80.336087,-1.555143,0.051079,0.184944
0.020000,132.866758,28.549466,127.746879,80.304993,-1.554699,0.022193,0.185501
0.020000,134.444617,28.845982,129.352357,80.273907,-1.554293,0.020299,0.186002
0.020000,136.021724,29.143128,130.957213,80.242824,-1.554166,0.006318,0.186446
0.020000,137.598098,29.440814,132.561448,80.211751,-1.553622,0.027208,0.186833
0.020000,139.173754,29.738951,134.165062,80.180687,-1.553227,0.019771,0.187164
0.020000,140.748709,30.037447,135.768055,80.149627,-1.552987,0.011981,0.187437
0.020000,142.322981,30.336214,137.370426,80.118570,-1.552853,0.006725,0.187654
0.020000,143.896587,30.635161,138.972176,80.087516,-1.552677,0.008775,0.187814
0.020000,145.469543,30.934200,140.573306,80.056467,-1.552449,0.011412,0.187917
0.020000,147.041867,31.233240,142.173814,80.025419,-1.552396,0.002638,0.187964
0.020000,148.613575,31.532193,143.773702,79.994372,-1.552390,0.000314,0.187954
0.020000,150.184685,31.830969,145.372968,79.963324,-1.552353,0.001853,0.187887
0.020000,151.755213,32.129479,146.971614,79.932276,-1.552429,-0.003808,0.187763
0.020000,153.325177,32.427635,148.569638,79.901225,-1.552568,-0.006969,0.187582
0.020000,154.894592,32.725346,150.167041,79.870169,-1.552754,-0.009303,0.187345
0.020000,156.463477,33.022524,151.763824,79.839114,-1.552793,-0.001916,0.187051
0.020000,158.031847,33.319081,153.359985,79.808051,-1.553110,-0.015873,0.186700
0.020000,159.599718,33.614928,154.955524,79.776982,-1.553492,-0.019081,0.186292
0.020000,161.167108,33.909976,156.550442,79.745904,-1.553855,-0.018154,0.185827
0.020000,162.734032,34.204136,158.144739,79.714823,-1.554087,-0.011609,0.185306
0.020000,164.300506,34.497320,159.738414,79.683735,-1.554376,-0.014421,0.184727
0.020000,165.866547,34.789440,161.331466,79.652633,-1.555094,-0.035933,0.184092
0.020000,167.432169,35.080407,162.923897,79.621521,-1.555606,-0.025569,0.183400
0.020000,168.997389,35.370132,164.515705,79.590399,-1.556124,-0.025939,0.182651
0.020000,170.562221,35.658527,166.106890,79.559276,-1.556122,0.000138,0.181845
0.020000,172.126680,35.945504,167.697453,79.528131,-1.557242,-0.056030,0.180982
0.020000,173.690782,36.230975,169.287392,79.496974,-1.557858,-0.030786,0.180063
0.020000,175.254540,36.514851,170.876708,79.465804,-1.558489,-0.031561,0.179086
0.020000,176.817970,36.797045,172.465401,79.434631,-1.558662,-0.008635,0.178052
0.020000,178.381084,37.077467,174.053470,79.403441,-1.559507,-0.042239,0.176961
0.020000,179.943896,37.356029,175.640914,79.372233,-1.560402,-0.044755,0.175813
0.020000,181.506421,37.632644,177.227735,79.341012,-1.561060,-0.032921,0.174608
0.020000,183.068670,37.907223,178.813930,79.309781,-1.561518,-0.022909,0.173346
0.020000,184.630657,38.179679,180.399501,79.278546,-1.561767,-0.012458,0.172027
0.020000,186.192394,38.449922,181.984447,79.247287,-1.562964,-0.059821,0.170650
0.020000,187.753892,38.717865,183.568767,79.216015,-1.563570,-0.030326,0.169217
0.020000,189.315164,38.983419,185.152462,79.184733,-1.564147,-0.028822,0.167726
0.020000,190.876221,39.246498,186.735531,79.153451,-1.564072,0.003725,0.166178
0.020000,192.437072,39.507011,188.317974,79.122150,-1.565061,-0.049415,0.164573
0.020000,193.997730,39.764872,189.899791,79.090837,-1.565667,-0.030317,0.162911
0.020000,195.558203,40.019993,191.480981,79.059515,-1.566070,-0.020135,0.161191
0.020000,197.118501,40.272285,193.061545,79.028191,-1.566182,-0.005627,0.159414
0.020000,198.678634,40.521660,194.641482,78.996866,-1.566256,-0.003678,0.157580
0.020000,200.238609,40.768030,196.220793,78.965528,-1.566932,-0.033816,0.155688
0.020000,201.798436,41.011308,197.799476,78.934187,-1.567046,-0.005680,0.153739
0.020000,203.358121,41.251406,199.377533,78.902846,-1.567063,-0.000882,0.151733
0.020000,204.917671,41.488235,200.954964,78.871514,-1.566574,0.024449,0.149669
0.020000,206.477094,41.721708,202.531767,78.840178,-1.566785,-0.010536,0.147549
0.020000,208.036395,41.951738,204.107944,78.808847,-1.566576,0.010436,0.145370
0.020000,209.595580,42.178235,205.683495,78.777524,-1.566138,0.021929,0.143135
0.020000,211.154654,42.401114,207.258419,78.746214,-1.565488,0.032490,0.140843
0.020000,212.674763,42.619343,208.794113,76.784683,-98.076576,-4825.554414,0.148260
0.020000,214.436123,42.897408,210.577287,89.158705,618.701119,35838.884763,0.165011
