dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.977257,36.918051,0.001128,0.112782,5.639098,281.954887,6.253269
0.020000,17.977070,36.918057,0.001315,0.009345,-5.171823,-540.546051,6.253287
0.020000,17.976650,36.918070,0.001735,0.021026,0.584047,287.793533,6.253325
0.020000,17.975903,36.918092,0.002483,0.037377,0.817538,11.674556,6.253393
0.020000,17.974735,36.918127,0.003651,0.058394,1.050833,11.664746,6.253500
0.020000,17.973055,36.918176,0.005332,0.084070,1.283807,11.648675,6.253654
0.020000,17.970768,36.918244,0.007620,0.114396,1.516302,11.624764,6.253863
0.020000,17.984820,36.917835,0.021679,0.702926,29.426488,1395.509312,6.254136
0.020000,18.072361,36.915307,0.109256,4.378863,183.796840,7718.517593,6.254482
0.020000,18.180433,36.912227,0.217371,5.405778,51.345791,-6622.552471,6.254908
0.020000,18.311212,36.908562,0.348202,6.541530,56.787598,272.090338,6.255424
0.020000,18.466855,36.904287,0.503903,7.785073,62.177143,269.477273,6.256037
0.020000,18.649529,36.899392,0.686643,9.136968,67.594757,270.880674,6.256755
0.020000,18.861402,36.893880,0.898588,10.597247,73.013926,270.958485,6.257588
0.020000,19.103561,36.887795,1.140824,12.111793,75.727306,135.669001,6.258539
0.020000,19.376012,36.881224,1.413353,13.626474,75.734056,0.337462,6.259606
0.020000,19.678768,36.874263,1.716189,15.141818,75.767197,1.657086,6.260791
0.020000,20.011829,36.867020,2.049329,16.656984,75.758299,-0.444925,6.262091
0.020000,20.375215,36.859611,2.412791,18.173090,75.805314,2.350780,6.263507
0.020000,20.768930,36.852164,2.806576,19.689237,75.807341,0.101347,6.265038
0.020000,21.192983,36.844817,3.230693,21.205862,75.831226,1.194229,6.266683
0.020000,21.647387,36.837717,3.685152,22.722979,75.855868,1.232098,6.268440
0.020000,22.132159,36.831022,4.169971,24.240924,75.897227,2.067956,6.270310
0.020000,22.647301,36.824899,4.685149,25.758915,75.899563,0.116786,6.272290
