dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.650101,25.985445,0.001128,0.112782,5.639098,281.954887,6.253269
0.020000,17.650101,25.985445,0.005639,0.338346,11.278195,281.954887,6.253287
0.020000,17.650101,25.985445,0.015789,0.676692,16.917293,281.954887,6.253325
0.020000,17.650101,25.985445,0.033835,1.127820,22.556391,281.954887,6.253393
0.020000,17.650101,25.985445,0.062030,1.691729,28.195489,281.954887,6.253500
0.020000,17.650101,25.985445,0.102632,2.368421,33.834586,281.954887,6.253654
0.020000,17.650101,25.985445,0.157895,3.157895,39.473684,281.954887,6.253863
0.020000,17.667140,25.984950,0.230075,4.060150,45.112782,281.954887,6.254136
0.020000,17.758458,25.982312,0.321429,5.075188,50.751880,281.954887,6.254482
0.020000,17.871191,25.979099,0.434211,6.203008,56.390977,281.954887,6.254908
0.020000,18.007606,25.975276,0.570677,7.443609,62.030075,281.954887,6.255424
0.020000,18.169952,25.970818,0.733083,8.796992,67.669173,281.954887,6.256037
0.020000,18.360484,25.965712,0.923684,10.263158,73.308271,281.954887,6.256755
0.020000,18.581462,25.959963,1.144737,11.842105,78.947368,281.954887,6.257588
0.020000,18.834014,25.953617,1.397368,13.421053,78.947368,-0.000000,6.258539
0.020000,19.118140,25.946764,1.681579,15.000000,78.947368,0.000000,6.259606
0.020000,19.433848,25.939506,1.997368,16.578947,78.947368,-0.000000,6.260791
0.020000,19.781131,25.931953,2.344737,18.157895,78.947368,0.000000,6.262091
0.020000,20.160002,25.924229,2.723684,19.736842,78.947368,-0.000000,6.263507
0.020000,20.570455,25.916465,3.134211,21.315789,78.947368,0.000000,6.265038
0.020000,21.012493,25.908806,3.576316,22.894737,78.947368,0.000000,6.266683
0.020000,21.486118,25.901406,4.050000,24.473684,78.947368,-0.000000,6.268440
0.020000,21.991336,25.894429,4.555263,26.052632,78.947368,0.000000,6.270310
0.020000,22.528137,25.888048,5.092105,27.631579,78.947368,0.000000,6.272290
0.020000,23.096533,25.882450,5.660526,29.210526,78.947368,-0.000000,6.274380
0.020000,23.696515,25.877827,6.260526,30.789474,78.947368,0.000000,6.276579
0.020000,24.328084,25.874383,6.892105,32.368421,78.947368,0.000000,6.278885
0.020000,24.991239,25.872332,7.555263,33.947368,78.947368,-0.000000,6.281297
