dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.322946,15.052839,0.001128,0.112782,5.639098,281.954887,6.253269
0.020000,17.323133,15.052834,0.001315,0.009345,-5.171823,-540.546051,6.253287
0.020000,17.323553,15.052821,0.001735,0.021026,0.584047,287.793533,6.253325
0.020000,17.324300,15.052799,0.002483,0.037377,0.817538,11.674556,6.253393
0.020000,17.325467,15.052764,0.003651,0.058394,1.050833,11.664746,6.253500
0.020000,17.327148,15.052714,0.005332,0.084070,1.283807,11.648675,6.253654
0.020000,17.329435,15.052647,0.007620,0.114396,1.516302,11.624764,6.253863
0.020000,17.349460,15.052064,0.027653,1.001649,44.362635,2142.316653,6.254136
0.020000,17.444555,15.049317,0.122788,4.756773,187.756202,7169.678334,6.254482
0.020000,17.561949,15.045972,0.240230,5.872056,55.764150,-6599.602614,6.254908
0.020000,17.704001,15.041991,0.382337,7.105389,61.666660,295.125530,6.255424
0.020000,17.873049,15.037348,0.551449,8.455573,67.509188,292.126385,6.256037
0.020000,18.071440,15.032032,0.749912,9.923139,73.378326,293.456895,6.256755
0.020000,18.301523,15.026046,0.980072,11.508030,79.244537,293.310570,6.257588
0.020000,18.564467,15.019439,1.243100,13.151379,82.167448,146.145527,6.258539
0.020000,18.860268,15.012305,1.538986,14.794321,82.147106,-1.017083,6.259606
0.020000,19.188928,15.004748,1.867733,16.437356,82.151731,0.231229,6.260791
0.020000,19.550433,14.996887,2.229323,18.079495,82.106952,-2.238925,6.262091
0.020000,19.944788,14.988846,2.623761,19.721875,82.119015,0.603150,6.263507
0.020000,20.371980,14.980766,3.051030,21.363441,82.078304,-2.035582,6.265038
0.020000,20.832003,14.972796,3.511121,23.004587,82.057272,-1.051570,6.266683
0.020000,21.324848,14.965095,4.004026,24.645245,82.032911,-1.218058,6.268440
0.020000,21.850512,14.957835,4.529740,26.285693,82.022412,-0.524932,6.270310
0.020000,22.408972,14.951198,5.088240,27.924997,81.965218,-2.859740,6.272290
0.020000,23.000229,14.945374,5.679526,29.564282,81.964230,-0.049373,6.274380
0.020000,23.624260,14.940565,6.303575,31.202488,81.910324,-2.695328,6.276579
0.020000,24.281053,14.936984,6.960378,32.840109,81.881003,-1.466029,6.278885
0.020000,24.970589,14.934851,7.649917,34.476990,81.844070,-1.846650,6.281297
0.020000,25.692849,14.934397,8.372177,36.112988,81.799902,-2.208406,0.000629
0.020000,26.447814,14.935861,9.127144,37.748326,81.766897,-1.650260,0.003248
0.020000,27.235457,14.939492,9.914795,39.382570,81.712206,-2.734537,0.005969
0.020000,28.055756,14.945546,10.735116,41.016050,81.673977,-1.911462,0.008789
0.020000,28.908678,14.954288,11.588083,42.648334,81.614226,-2.987514,0.011707
0.020000,29.794193,14.965991,12.473675,44.279627,81.564664,-2.478139,0.014721
0.020000,30.712267,14.980934,13.391871,45.909783,81.507773,-2.844525,0.017828
0.020000,31.662861,14.999406,14.342644,47.538667,81.444215,-3.177890,0.021027
0.020000,32.645942,15.021698,15.325978,49.166700,81.401645,-2.128516,0.024315
0.020000,33.661457,15.048112,16.341837,50.792941,81.312055,-4.479510,0.027690
0.020000,34.708197,15.078915,17.389029,52.359614,78.333642,-148.920645,0.031145
0.020000,35.783773,15.114325,18.465188,53.807942,72.416405,-295.861841,0.034671
