dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.670698,309.255668,0.001128,0.112782,5.639098,281.954887,6.253981
0.020000,12.670673,309.255669,0.001152,0.001223,-5.577960,-560.852910,6.253983
0.020000,12.670618,309.255670,0.001207,0.002750,0.076353,282.715660,6.253988
0.020000,12.670520,309.255673,0.001305,0.004884,0.106701,1.517426,6.253997
0.020000,12.670368,309.255678,0.001457,0.007619,0.136754,1.502654,6.254011
0.020000,12.670149,309.255684,0.001676,0.010945,0.166324,1.478466,6.254031
0.020000,12.669852,309.255693,0.001973,0.014849,0.195174,1.442510,6.254058
0.020000,12.714124,309.254404,0.046263,2.214493,109.982211,5489.351861,6.254094
0.020000,12.804953,309.251763,0.137130,4.543369,116.443772,323.078027,6.254138
0.020000,12.917092,309.248508,0.249317,5.609309,53.297044,-3157.336371,6.254192
0.020000,13.052786,309.244577,0.385068,6.787591,58.914082,280.851908,6.254258
0.020000,13.214284,309.239910,0.546633,8.078234,64.532154,280.903605,6.254335
0.020000,13.403832,309.234448,0.736260,9.481328,70.154690,281.126762,6.254424
0.020000,13.623680,309.228135,0.956198,10.996929,75.780075,281.269279,6.254526
0.020000,13.874957,309.220945,1.207579,12.569030,78.605009,141.246705,6.254640
0.020000,14.157674,309.212891,1.490411,14.141588,78.627919,1.145476,6.254766
0.020000,14.471840,309.203982,1.804703,15.714611,78.651134,1.160762,6.254903
0.020000,14.817467,309.194230,2.150467,17.288207,78.679820,1.434273,6.255050
0.020000,15.194567,309.183646,2.527715,18.862412,78.710249,1.521447,6.255205
0.020000,15.603153,309.172244,2.936461,20.437282,78.743517,1.663438,6.255368
0.020000,16.043241,309.160037,3.376718,22.012853,78.778533,1.750773,6.255537
0.020000,16.514846,309.147035,3.848502,23.589219,78.818291,1.987903,6.255710
0.020000,17.017985,309.133253,4.351830,25.166395,78.858816,2.026270,6.255887
0.020000,17.552677,309.118702,4.886720,26.744468,78.903663,2.242315,6.256066
0.020000,18.118939,309.103392,5.453189,28.323475,78.950312,2.332450,6.256244
0.020000,18.716793,309.087335,6.051259,29.903476,79.000080,2.488422,6.256421
0.020000,19.346260,309.070539,6.680949,31.484522,79.052278,2.609903,6.256594
0.020000,20.007361,309.053011,7.342282,33.066668,79.107291,2.750670,6.256760
0.020000,20.700120,309.034757,8.035282,34.649974,79.165334,2.902112,6.256919
0.020000,21.424561,309.015779,8.759972,36.234495,79.226031,3.034880,6.257068
0.020000,22.180710,308.996078,9.516377,37.820280,79.289249,3.160868,6.257204
0.020000,22.968593,308.975653,10.304525,39.407389,79.355431,3.309101,6.257325
0.020000,23.788238,308.954496,11.124443,40.995872,79.424174,3.437165,6.257429
0.020000,24.639672,308.932599,11.976158,42.585787,79.495725,3.577556,6.257513
0.020000,25.522925,308.909947,12.859702,44.177190,79.570150,3.721244,6.257574
0.020000,26.438028,308.886523,13.775105,45.770136,79.647304,3.857695,6.257609
0.020000,27.385012,308.862304,14.722398,47.364679,79.727159,3.992755,6.257616
0.020000,28.363909,308.837259,15.701616,48.960875,79.809808,4.132475,6.257591
0.020000,29.373625,308.811383,16.711663,50.502345,77.073494,-136.815725,6.257532
0.020000,30.411934,308.784694,17.750315,51.932594,71.512452,-278.052073,6.257435
0.020000,31.476609,308.757203,18.815345,53.251507,65.945647,-278.340250,6.257298
0.020000,32.565420,308.728917,19.904524,54.458936,60.371475,-278.708603,6.257119
0.020000,33.676134,308.699838,21.015618,55.554743,54.790354,-279.056090,6.256895
0.020000,34.806515,308.669965,22.146394,56.538772,49.201434,-279.445965,6.256625
0.020000,35.954323,308.639293,23.294611,57.410857,43.604245,-279.859482,6.256307
0.020000,37.117313,308.607817,24.458027,58.170825,37.998388,-280.292815,6.255940
0.020000,38.293241,308.575529,25.634398,58.818524,32.384961,-280.671344,6.255522
0.020000,39.479853,308.542422,26.821473,59.353728,26.760192,-281.238476,6.255054
0.020000,40.674897,308.508489,28.016998,59.776268,21.126985,-281.660360,6.254535
0.020000,41.876114,308.473727,29.218718,60.085984,15.485828,-282.057855,6.253965
0.020000,43.081240,308.438134,30.424370,60.282605,9.831071,-282.737808,6.253346
0.020000,44.288012,308.401714,31.631691,60.366043,4.171895,-282.958823,6.252676
0.020000,45.495291,308.364441,32.839545,60.392744,1.335023,-141.843583,6.251958
0.020000,46.703079,308.326254,34.047936,60.419535,1.339572,0.227426,6.251191
0.020000,47.911370,308.287093,35.256862,60.446298,1.338129,-0.072167,6.250375
0.020000,49.120165,308.246899,36.466325,60.473145,1.342372,0.212153,6.249510
0.020000,50.329460,308.205612,37.676325,60.499978,1.341638,-0.036686,6.248595
0.020000,51.539253,308.163170,38.886862,60.526887,1.345425,0.189379,6.247632
0.020000,52.749542,308.119513,40.097938,60.553797,1.345516,0.004535,6.246619
0.020000,53.960324,308.074581,41.309554,60.580771,1.348730,0.160709,6.245557
0.020000,55.171596,308.028313,42.521709,60.607766,1.349724,0.049706,6.244446
0.020000,56.383355,307.980647,43.734405,60.634812,1.352282,0.127858,6.243285
0.020000,57.595598,307.931523,44.947643,60.661896,1.354220,0.096942,6.242075
0.020000,58.808322,307.880879,46.161423,60.689017,1.356073,0.092610,6.240815
0.020000,60.021522,307.828653,47.375747,60.716197,1.358959,0.144305,6.239505
0.020000,61.235195,307.774784,48.590615,60.743399,1.360094,0.056781,6.238146
0.020000,62.449337,307.719211,49.806029,60.770676,1.363891,0.189836,6.236737
0.020000,63.663944,307.661870,51.021988,60.797963,1.364335,0.022179,6.235277
0.020000,64.879011,307.602701,52.238495,60.825342,1.368967,0.231604,6.233768
0.020000,66.094533,307.541639,53.455549,60.852718,1.368778,-0.009438,6.232209
0.020000,67.310505,307.478624,54.673153,60.880201,1.374133,0.267744,6.230600
0.020000,68.526921,307.413591,55.891307,60.907669,1.373405,-0.036411,6.228940
0.020000,69.743777,307.346479,57.110012,60.935255,1.379335,0.296508,6.227230
0.020000,70.961065,307.277223,58.329268,60.962819,1.378190,-0.057218,6.225469
0.020000,72.178780,307.205762,59.549078,60.990510,1.384517,0.316305,6.223658
0.020000,73.396914,307.132030,60.769442,61.018172,1.383106,-0.070531,6.221796
0.020000,74.615462,307.055966,61.990361,61.045964,1.389621,0.325753,6.219883
0.020000,75.834413,306.977504,63.211836,61.073726,1.388116,-0.075251,6.217920
0.020000,77.053763,306.896581,64.433868,61.101618,1.394591,0.323723,6.215905
0.020000,78.273502,306.813133,65.656458,61.129482,1.393179,-0.070565,6.213840
0.020000,79.493622,306.727095,66.879607,61.157469,1.399367,0.309388,6.211724
0.020000,80.714112,306.638403,68.103316,61.185434,1.398247,-0.055985,6.209556
0.020000,81.934965,306.546993,69.327586,61.213512,1.403893,0.282265,6.207337
0.020000,83.156169,306.452799,70.552418,61.241577,1.403265,-0.031394,6.205067
0.020000,84.377715,306.355757,71.777812,61.269739,1.408110,0.242261,6.202745
0.020000,85.599592,306.255802,73.003770,61.297903,1.408168,0.002915,6.200371
0.020000,86.821788,306.152868,74.230293,61.326142,1.411962,0.189709,6.197946
0.020000,88.044291,306.046890,75.457381,61.354400,1.412886,0.046200,6.195470
0.020000,89.267089,305.937803,76.685035,61.382708,1.415395,0.125409,6.192941
0.020000,90.490168,305.825541,77.913256,61.411054,1.417339,0.097239,6.190361
0.020000,91.713516,305.710039,79.142045,61.439421,1.418352,0.050654,6.187729
0.020000,92.937119,305.591230,80.371402,61.467850,1.421438,0.154300,6.185045
0.020000,94.160960,305.469049,81.601327,61.496266,1.420784,-0.032742,6.182309
0.020000,95.385027,305.343430,82.831823,61.524768,1.425086,0.215126,6.179521
0.020000,96.609301,305.214307,84.062887,61.553220,1.422638,-0.122424,6.176680
0.020000,97.833768,305.081614,85.294523,61.581784,1.428176,0.276915,6.173788
0.020000,99.058408,304.945285,86.526728,61.610261,1.423866,-0.215491,6.170843
0.020000,100.283207,304.805253,87.759505,61.638873,1.430593,0.336324,6.167847
0.020000,101.508142,304.661453,88.992853,61.667372,1.424921,-0.283577,6.164798
0.020000,102.733198,304.513819,90.226773,61.695996,1.431215,0.314721,6.161696
0.020000,103.958353,304.362284,91.461263,61.724518,1.426116,-0.254963,6.158543
0.020000,105.183587,304.206782,92.696325,61.753122,1.430193,0.203853,6.155337
0.020000,106.408878,304.047248,93.931959,61.781658,1.426801,-0.169615,6.152079
0.020000,107.634205,303.883615,95.168163,61.810224,1.428322,0.076073,6.148769
0.020000,108.859544,303.715817,96.404938,61.838753,1.426414,-0.095397,6.145407
0.020000,110.084873,303.543789,97.642283,61.867264,1.425561,-0.042655,6.141992
0.020000,111.310166,303.367465,98.880199,61.895760,1.424809,-0.037597,6.138526
0.020000,112.535399,303.186780,100.118683,61.924198,1.421870,-0.146968,6.135007
0.020000,113.760546,303.001668,101.357735,61.952634,1.421833,-0.001839,6.131436
0.020000,114.985579,302.812064,102.597355,61.980978,1.417210,-0.231188,6.127814
0.020000,116.210473,302.617904,103.837541,62.009325,1.417330,0.006005,6.124140
0.020000,117.435197,302.419122,105.078293,62.037562,1.411840,-0.274501,6.120414
0.020000,118.659723,302.215654,106.319608,62.065773,1.410543,-0.064816,6.116636
0.020000,119.884021,302.007436,107.561486,62.093883,1.405528,-0.250789,6.112807
0.020000,121.108060,301.794405,108.803924,62.121929,1.402300,-0.161358,6.108927
0.020000,122.331808,301.576496,110.046922,62.149880,1.397530,-0.238532,6.104996
0.020000,123.555232,301.353647,111.290477,62.177737,1.392867,-0.233149,6.101014
0.020000,124.778299,301.125796,112.534586,62.205488,1.387539,-0.266363,6.096981
0.020000,126.000975,300.892879,113.779249,62.233132,1.382197,-0.267101,6.092897
0.020000,127.223223,300.654835,115.024462,62.260640,1.375410,-0.339361,6.088763
0.020000,128.445008,300.411603,116.270223,62.288045,1.370244,-0.258320,6.084579
0.020000,129.666291,300.163123,117.516528,62.315265,1.361004,-0.461968,6.080346
0.020000,130.887037,299.909333,118.763376,62.342392,1.356355,-0.232479,6.076062
0.020000,132.107205,299.650176,120.010762,62.369300,1.345391,-0.548176,6.071730
0.020000,133.326756,299.385590,121.258684,62.396097,1.339859,-0.276628,6.067348
0.020000,134.545647,299.115519,122.507137,62.422667,1.328490,-0.568419,6.062918
0.020000,135.763840,298.839905,123.756119,62.449083,1.320785,-0.385289,6.058440
0.020000,136.981289,298.558691,125.005624,62.475282,1.309989,-0.539806,6.053913
0.020000,138.197952,298.271821,126.255650,62.501266,1.299177,-0.540577,6.049340
0.020000,139.413785,297.979240,127.506191,62.527062,1.289798,-0.468934,6.044719
0.020000,140.628741,297.680894,128.757242,62.552562,1.274989,-0.740467,6.040051
0.020000,141.842776,297.376728,130.008801,62.577918,1.267819,-0.358512,6.035337
0.020000,143.055841,297.066692,131.260858,62.602882,1.248206,-0.980639,6.030577
0.020000,144.267891,296.750732,132.513414,62.627761,1.243932,-0.213676,6.025772
0.020000,145.478872,296.428799,133.766456,62.652138,1.218851,-1.254081,6.020922
0.020000,146.688740,296.100843,135.019986,62.676485,1.217352,-0.074928,6.016028
0.020000,147.897440,295.766817,136.273991,62.700251,1.188291,-1.453047,6.011090
0.020000,149.104925,295.426671,137.528471,62.723994,1.187162,-0.056490,6.006109
0.020000,150.311139,295.080362,138.783413,62.747131,1.156858,-1.515181,6.001086
0.020000,151.516033,294.727842,140.038818,62.770211,1.154012,-0.142283,5.996020
0.020000,152.719549,294.369071,141.294671,62.792668,1.122835,-1.558856,5.990913
0.020000,153.921638,294.004003,142.550972,62.815045,1.118865,-0.198486,5.985766
0.020000,155.122239,293.632601,143.807707,62.836765,1.085996,-1.643481,5.980578
0.020000,156.321303,293.254821,145.064875,62.858405,1.081987,-0.200425,5.975351
0.020000,157.518767,292.870628,146.322462,62.879327,1.046080,-1.795384,5.970086
0.020000,158.714580,292.479983,147.580466,62.900201,1.043715,-0.118239,5.964783
0.020000,159.908679,292.082854,148.838871,62.920257,1.002790,-2.046258,5.959443
0.020000,161.101013,291.679202,150.097678,62.940346,1.004462,0.083613,5.954066
0.020000,162.291514,291.269001,151.356867,62.959462,0.955789,-2.433661,5.948654
0.020000,163.480133,290.852214,152.616441,62.978692,0.961491,0.285097,5.943207
0.020000,164.666800,290.428817,153.876379,62.996915,0.911166,-2.516257,5.937727
0.020000,165.851465,289.998779,155.136682,63.015155,0.911995,0.041475,5.932214
0.020000,167.034060,289.562076,156.397333,63.032531,0.868806,-2.159474,5.926668
0.020000,168.214529,289.118683,157.658326,63.049668,0.856872,-0.596656,5.921091
0.020000,169.392809,288.668578,158.919651,63.066218,0.827481,-1.469550,5.915484
0.020000,170.568838,288.211740,160.181294,63.082150,0.796593,-1.544415,5.909848
0.020000,171.742559,287.748150,161.443252,63.097910,0.788027,-0.428310,5.904184
0.020000,172.913900,287.277792,162.705502,63.112522,0.730591,-2.871798,5.898492
0.020000,174.082812,286.800649,163.968048,63.127269,0.737315,0.336223,5.892773
0.020000,175.249224,286.316708,165.230868,63.140996,0.686376,-2.546979,5.887029
0.020000,176.413077,285.825958,166.493955,63.154352,0.667779,-0.929861,5.881261
0.020000,177.574313,285.328387,167.757303,63.167399,0.652364,-0.770726,5.875470
0.020000,178.732859,284.823991,169.020886,63.179159,0.587985,-3.218932,5.869656
0.020000,179.888665,284.312760,170.284708,63.191086,0.596378,0.419646,5.863820
0.020000,181.041665,283.794690,171.548751,63.202188,0.555111,-2.063388,5.857965
0.020000,182.191793,283.269782,172.812999,63.212380,0.509601,-2.275459,5.852090
0.020000,183.338996,282.738030,174.077450,63.222533,0.507652,-0.097498,5.846198
0.020000,184.483210,282.199439,175.342086,63.231802,0.463439,-2.210626,5.840288
0.020000,185.624368,281.654014,176.606890,63.240218,0.420762,-2.133831,5.834363
0.020000,186.762419,281.101756,177.871861,63.248545,0.416382,-0.219005,5.828422
0.020000,187.897304,280.542671,179.136985,63.256181,0.381791,-1.729552,5.822468
0.020000,189.028949,279.976775,180.402236,63.262556,0.318740,-3.152557,5.816502
0.020000,190.157311,279.404072,181.667616,63.269024,0.323392,0.232607,5.810524
0.020000,191.282329,278.824575,182.933114,63.274869,0.292293,-1.554970,5.804536
0.020000,192.403942,278.238301,184.198710,63.279795,0.246285,-2.300409,5.798538
0.020000,193.522089,277.645267,185.464388,63.283928,0.206652,-1.981650,5.792533
0.020000,194.636722,277.045487,186.730146,63.287894,0.198302,-0.417491,5.786521
0.020000,195.747786,276.438981,187.995971,63.291233,0.166956,-1.567311,5.780502
0.020000,196.855226,275.825771,189.261850,63.293945,0.135598,-1.567894,5.774479
0.020000,197.958977,275.205884,190.527759,63.295464,0.075954,-2.982162,5.768453
0.020000,198.843566,274.708978,191.542358,50.729979,-628.274251,-31417.510265,5.776387
0.020000,199.794704,274.187563,192.627042,54.234176,175.209818,40174.203459,5.786930
0.020000,200.757916,273.672221,193.719449,54.620361,19.309255,-7795.028154,5.796767
0.020000,201.732669,273.162542,194.819411,54.998112,18.887561,-21.084738,5.805913
0.020000,202.718452,272.658100,195.926764,55.367650,18.476913,-20.532373,5.814383
0.020000,203.714773,272.158455,197.041350,55.729280,18.081506,-19.770336,5.822192
0.020000,204.721160,271.663152,198.163018,56.083376,17.704782,-18.836242,5.829354
0.020000,205.737159,271.171726,199.291625,56.430367,17.349535,-17.762335,5.835881
0.020000,206.762339,270.683698,200.427039,56.770727,17.018017,-16.575900,5.841786
0.020000,207.796287,270.198576,201.569139,57.104968,16.712022,-15.299744,5.847079
0.020000,208.838609,269.715860,202.717811,57.433627,16.432968,-13.952689,5.851772
0.020000,209.888927,269.235036,203.872957,57.757266,16.181967,-12.550081,5.855873
