dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.351320,298.322832,0.001128,0.112782,5.639098,281.954887,6.253981
0.020000,12.351320,298.322832,0.005639,0.338346,11.278195,281.954887,6.253983
0.020000,12.351320,298.322832,0.015789,0.676692,16.917293,281.954887,6.253988
0.020000,12.351320,298.322832,0.033835,1.127820,22.556391,281.954887,6.253997
0.020000,12.351320,298.322832,0.062030,1.691729,28.195489,281.954887,6.254011
0.020000,12.351320,298.322832,0.102632,2.368421,33.834586,281.954887,6.254031
0.020000,12.351320,298.322832,0.157895,3.157895,39.473684,281.954887,6.254058
0.020000,12.395977,298.321532,0.230075,4.060150,45.112782,281.954887,6.254094
0.020000,12.487292,298.318877,0.321429,5.075188,50.751880,281.954887,6.254138
0.020000,12.600026,298.315604,0.434211,6.203008,56.390977,281.954887,6.254192
0.020000,12.736435,298.311653,0.570677,7.443609,62.030075,281.954887,6.254258
0.020000,12.898773,298.306962,0.733083,8.796992,67.669173,281.954887,6.254335
0.020000,13.089296,298.301472,0.923684,10.263158,73.308271,281.954887,6.254424
0.020000,13.310257,298.295126,1.144737,11.842105,78.947368,281.954887,6.254526
0.020000,13.562785,298.287901,1.397368,13.421053,78.947368,-0.000000,6.254640
0.020000,13.846881,298.279807,1.681579,15.000000,78.947368,0.000000,6.254766
0.020000,14.162543,298.270856,1.997368,16.578947,78.947368,-0.000000,6.254903
0.020000,14.509774,298.261058,2.344737,18.157895,78.947368,0.000000,6.255050
0.020000,14.888572,298.250427,2.723684,19.736842,78.947368,-0.000000,6.255205
0.020000,15.298939,298.238976,3.134211,21.315789,78.947368,0.000000,6.255368
0.020000,15.740874,298.226717,3.576316,22.894737,78.947368,0.000000,6.255537
0.020000,16.214378,298.213663,4.050000,24.473684,78.947368,-0.000000,6.255710
0.020000,16.719452,298.199828,4.555263,26.052632,78.947368,0.000000,6.255887
0.020000,17.256095,298.185223,5.092105,27.631579,78.947368,0.000000,6.256066
0.020000,17.824309,298.169861,5.660526,29.210526,78.947368,-0.000000,6.256244
0.020000,18.424092,298.153752,6.260526,30.789474,78.947368,0.000000,6.256421
0.020000,19.055447,298.136906,6.892105,32.368421,78.947368,0.000000,6.256594
0.020000,19.718372,298.119329,7.555263,33.947368,78.947368,-0.000000,6.256760
