dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.031942,287.389996,0.001143,0.114286,5.714286,285.714286,6.253981
0.020000,12.031967,287.389995,0.001168,0.001239,-5.652333,-568.330959,6.253983
0.020000,12.032022,287.389993,0.001223,0.002786,0.077370,286.485154,6.253988
0.020000,12.032121,287.389991,0.001322,0.004949,0.108120,1.537505,6.253997
0.020000,12.032276,287.389986,0.001477,0.007720,0.138566,1.522337,6.254011
0.020000,12.032497,287.389980,0.001699,0.011090,0.168516,1.497499,6.254032
0.020000,12.032798,287.389971,0.001999,0.015045,0.197728,1.460577,6.254059
0.020000,12.080913,287.388570,0.050134,2.406748,119.585169,5969.372074,6.254095
0.020000,12.173937,287.385865,0.143198,4.653190,112.322059,-363.155510,6.254140
0.020000,12.288778,287.382532,0.258087,5.744456,54.563318,-2887.937080,6.254195
0.020000,12.427729,287.378507,0.397097,6.950480,60.301206,286.894413,6.254261
0.020000,12.593084,287.373730,0.562521,8.271181,66.035022,286.690820,6.254339
0.020000,12.787133,287.368139,0.756651,9.706500,71.765978,286.547770,6.254430
0.020000,13.012168,287.361678,0.981778,11.256372,77.493585,286.380356,6.254533
0.020000,13.269329,287.354323,1.239044,12.863295,80.346164,142.628953,6.254648
0.020000,13.558607,287.346084,1.528439,14.469764,80.323455,-1.135423,6.254776
0.020000,13.879992,287.336974,1.849953,16.075715,80.297525,-1.296535,6.254914
0.020000,14.233473,287.327004,2.203575,17.681089,80.268708,-1.440825,6.255063
0.020000,14.619039,287.316188,2.589292,19.285854,80.238242,-1.523336,6.255220
0.020000,15.036675,287.304540,3.007091,20.889927,80.203678,-1.728181,6.255384
0.020000,15.486367,287.292074,3.456956,22.493260,80.166646,-1.851580,6.255555
0.020000,15.968101,287.278802,3.938872,24.095818,80.127912,-1.936731,6.255730
0.020000,16.481859,287.264740,4.452823,25.697507,80.084438,-2.173697,6.255908
0.020000,17.027623,287.249899,4.998788,27.298292,80.039227,-2.260557,6.256088
0.020000,17.605374,287.234291,5.576751,28.898121,79.991486,-2.387029,6.256267
0.020000,18.215093,287.217930,6.186689,30.496919,79.939876,-2.580515,6.256444
0.020000,18.856758,287.200823,6.828582,32.094650,79.886560,-2.665785,6.256618
0.020000,19.530347,287.182980,7.502407,33.691250,79.829994,-2.828288,6.256784
0.020000,20.235836,287.164408,8.208140,35.286662,79.770585,-2.970441,6.256943
0.020000,20.973200,287.145108,8.945757,36.880823,79.708040,-3.127285,6.257091
0.020000,21.742413,287.125085,9.715231,38.473683,79.643010,-3.251490,6.257225
0.020000,22.543448,287.104334,10.516534,40.065190,79.575347,-3.383163,6.257345
0.020000,23.376277,287.082853,11.349640,41.655287,79.504892,-3.522723,6.257446
0.020000,24.240869,287.060630,12.214518,43.243903,79.430771,-3.706075,6.257526
0.020000,25.137195,287.037653,13.111138,44.831001,79.354902,-3.793421,6.257583
0.020000,26.065221,287.013904,14.039468,46.416512,79.275569,-3.966684,6.257613
0.020000,27.024915,286.989360,14.999476,48.000383,79.193510,-4.102954,6.257614
0.020000,28.016241,286.963991,15.991127,49.582553,79.108528,-4.249067,6.257582
0.020000,29.039165,286.937763,17.014387,51.162972,79.020971,-4.377865,6.257514
0.020000,30.093647,286.910634,18.069218,52.741572,78.929986,-4.549249,6.257407
0.020000,31.179650,286.882555,19.155584,54.318302,78.836478,-4.675407,6.257258
0.020000,32.297134,286.853470,20.273446,55.893104,78.740119,-4.817937,6.257062
0.020000,33.446057,286.823313,21.422764,57.465918,78.640668,-4.972559,6.256817
0.020000,34.626375,286.792011,22.603498,59.036675,78.537877,-5.139559,6.256518
0.020000,35.838045,286.759481,23.815605,60.605327,78.432598,-5.263945,6.256162
0.020000,37.081020,286.725630,25.059041,62.171800,78.323627,-5.448546,6.255745
0.020000,38.355253,286.690354,26.333762,63.736062,78.213120,-5.525350,6.255262
0.020000,39.660694,286.653539,27.639722,65.298010,78.097399,-5.786019,6.254710
0.020000,40.997293,286.615057,28.976874,66.857622,77.980608,-5.839564,6.254084
0.020000,42.364996,286.574770,30.345170,68.414795,77.858660,-6.097415,6.253380
