dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.743793,162.285665,0.001943,0.194285,9.714262,485.713093,6.283147
0.020000,53.743770,162.285665,0.001966,0.001176,-9.655481,-968.487151,6.283149
0.020000,53.743717,162.285665,0.002019,0.002645,0.073461,486.447102,6.283153
0.020000,53.743623,162.285665,0.002113,0.004701,0.102803,1.467122,6.283161
0.020000,53.743476,162.285665,0.002260,0.007343,0.132081,1.463906,6.283172
0.020000,53.757228,162.285665,0.016012,0.687598,34.012752,1694.033520,0.000003
0.020000,53.852140,162.285667,0.110924,4.745616,202.900897,8444.407269,0.000026
0.020000,53.976108,162.285672,0.234892,6.198373,72.637886,-6513.150562,0.000055
0.020000,54.131068,162.285683,0.389852,7.747996,77.481138,242.162604,0.000092
0.020000,54.317021,162.285704,0.575805,9.297639,77.482126,0.049389,0.000136
0.020000,54.533967,162.285739,0.792751,10.847304,77.483294,0.058402,0.000187
0.020000,54.781907,162.285793,1.040691,12.396998,77.484702,0.070403,0.000245
0.020000,55.060841,162.285870,1.319625,13.946723,77.486237,0.076746,0.000311
0.020000,55.370771,162.285978,1.629555,15.496484,77.488032,0.089753,0.000383
0.020000,55.711696,162.286122,1.970480,17.046284,77.490007,0.098756,0.000463
0.020000,56.083619,162.286310,2.342403,18.596127,77.492163,0.107802,0.000549
0.020000,56.486539,162.286550,2.745323,20.146017,77.494501,0.116894,0.000642
0.020000,56.920458,162.286851,3.179242,21.695959,77.497101,0.129986,0.000742
0.020000,57.385377,162.287221,3.644162,23.245956,77.499824,0.136159,0.000849
0.020000,57.881297,162.287670,4.140082,24.796011,77.502787,0.148149,0.000963
0.020000,58.408220,162.288209,4.667004,26.346130,77.505932,0.157239,0.001083
0.020000,58.966145,162.288848,5.224931,27.896316,77.509281,0.167484,0.001209
0.020000,59.555076,162.289599,5.813862,29.446572,77.512829,0.177385,0.001342
0.020000,60.175014,162.290474,6.433800,30.996904,77.516567,0.186892,0.001481
0.020000,60.825959,162.291485,7.084747,32.547314,77.520495,0.196429,0.001626
0.020000,61.507915,162.292645,7.766703,34.097806,77.524629,0.206665,0.001776
0.020000,62.220881,162.293968,8.479670,35.648386,77.528971,0.217116,0.001933
0.020000,62.964861,162.295466,9.223651,37.199055,77.533490,0.225964,0.002095
0.020000,63.739855,162.297155,9.998648,38.749820,77.538221,0.236549,0.002263
0.020000,64.545867,162.299049,10.804662,40.300682,77.543134,0.245621,0.002436
0.020000,65.382897,162.301163,11.641694,41.851648,77.548255,0.256058,0.002615
0.020000,66.250948,162.303512,12.509749,43.402719,77.553565,0.265516,0.002798
0.020000,67.150022,162.306112,13.408827,44.953901,77.559105,0.276976,0.002986
0.020000,68.080122,162.308980,14.338931,46.505197,77.564783,0.283908,0.003179
0.020000,69.041249,162.312130,15.300063,48.056611,77.570702,0.295958,0.003376
0.020000,70.033406,162.315580,16.292226,49.608147,77.576810,0.305398,0.003578
0.020000,71.056595,162.319347,17.315422,51.159809,77.583106,0.314783,0.003784
0.020000,72.110819,162.323446,18.369654,52.711601,77.589600,0.324696,0.003993
0.020000,73.196081,162.327896,19.454925,54.263527,77.596308,0.335446,0.004207
0.020000,74.312382,162.332713,20.571237,55.815591,77.603193,0.344221,0.004424
0.020000,75.459726,162.337915,21.718592,57.367797,77.610280,0.354351,0.004644
0.020000,76.638116,162.343519,22.896995,58.920148,77.617565,0.364247,0.004867
0.020000,77.847554,162.349542,24.106448,60.472649,77.625066,0.375067,0.005093
0.020000,79.088043,162.356001,25.346954,62.025304,77.632722,0.382807,0.005321
0.020000,80.359586,162.362914,26.618517,63.578116,77.640619,0.394817,0.005552
0.020000,81.662187,162.370298,27.921139,65.131090,77.648687,0.403394,0.005784
0.020000,82.995849,162.378169,29.254823,66.684229,77.656961,0.413725,0.006019
0.020000,84.360574,162.386545,30.619574,68.237538,77.665432,0.423535,0.006255
0.020000,85.756366,162.395442,32.015394,69.791019,77.674090,0.432915,0.006492
0.020000,87.183228,162.404877,33.442288,71.344679,77.682963,0.443624,0.006731
0.020000,88.641164,162.414865,34.900258,72.898519,77.692021,0.452906,0.006970
0.020000,90.130178,162.425422,36.389309,74.452545,77.701276,0.462787,0.007209
0.020000,91.650272,162.436563,37.909444,76.006759,77.710737,0.473008,0.007449
0.020000,93.201451,162.448304,39.460668,77.561167,77.720380,0.482158,0.007688
0.020000,94.783718,162.460658,41.042983,79.115772,77.730237,0.492857,0.007927
0.020000,96.397078,162.473639,42.656395,80.670577,77.740277,0.502029,0.008165
0.020000,98.041533,162.487262,44.300906,82.225588,77.750521,0.512194,0.008401
0.020000,99.717088,162.501537,45.976523,83.780807,77.760961,0.521970,0.008637
0.020000,101.423748,162.516478,47.683247,85.336239,77.771600,0.531980,0.008870
0.020000,103.161515,162.532095,49.421085,86.891887,77.782430,0.541489,0.009102
0.020000,104.930395,162.548399,51.190040,88.447757,77.793462,0.551609,0.009331
0.020000,106.730392,162.565400,52.990117,90.003850,77.804690,0.561374,0.009557
0.020000,108.561510,162.583105,54.821321,91.560173,77.816114,0.571190,0.009780
0.020000,110.423753,162.601524,56.683655,93.116727,77.827735,0.581056,0.009999
0.020000,112.317127,162.620662,58.577126,94.673518,77.839552,0.590889,0.010215
0.020000,114.241635,162.640525,60.501737,96.230550,77.851568,0.600751,0.010426
0.020000,116.197283,162.661118,62.457493,97.787825,77.863779,0.610570,0.010632
0.020000,118.184076,162.682445,64.444400,99.345349,77.876187,0.620421,0.010834
0.020000,120.202018,162.704506,66.462463,100.903125,77.888793,0.630296,0.011030
0.020000,122.249174,162.727282,68.509745,102.364127,73.050077,-241.935811,0.011219
0.020000,124.321667,162.750726,70.582371,103.631300,63.358675,-484.570122,0.011402
0.020000,126.415621,162.774789,72.676463,104.704605,53.665222,-484.672618,0.011578
0.020000,128.527157,162.799417,74.788143,105.583998,43.969662,-484.778027,0.011746
0.020000,130.652397,162.824552,76.913532,106.269437,34.271942,-484.885992,0.011905
0.020000,132.787462,162.850133,79.048749,106.760877,24.572021,-484.996016,0.012055
0.020000,134.928451,162.876097,81.189896,107.057333,14.822792,-487.461471,0.012196
0.020000,137.069524,162.902354,83.331130,107.061689,0.217826,-730.248323,0.012327
0.020000,139.204856,162.928809,85.466626,106.774820,-14.343461,-728.064322,0.012448
0.020000,141.330565,162.955391,87.592501,106.293738,-24.054091,-485.531507,0.012559
0.020000,143.442765,162.982028,89.704869,105.618399,-33.766952,-485.643055,0.012660
0.020000,145.537571,163.008646,91.799844,104.748759,-43.482013,-485.753051,0.012750
0.020000,147.611097,163.035170,93.873540,103.684774,-53.199233,-485.860982,0.012830
0.020000,149.659455,163.061526,95.922068,102.426403,-62.918560,-485.966342,0.012901
0.020000,151.678777,163.087641,97.941559,100.974546,-72.592836,-483.713808,0.012961
0.020000,153.667135,163.113466,99.930084,99.426278,-77.413406,-241.028526,0.013012
0.020000,155.624524,163.138980,101.887639,97.877758,-77.426010,-0.630189,0.013055
0.020000,157.550939,163.164164,103.814219,96.328990,-77.438416,-0.620299,0.013088
0.020000,159.446376,163.188998,105.709819,94.779977,-77.450625,-0.610431,0.013113
0.020000,161.310830,163.213466,107.574433,93.230725,-77.462637,-0.600613,0.013131
0.020000,163.144297,163.237552,109.408058,91.681236,-77.474452,-0.590730,0.013141
0.020000,164.946771,163.261242,111.210688,90.131514,-77.486070,-0.580906,0.013143
0.020000,166.718250,163.284524,112.982320,88.581564,-77.497490,-0.571036,0.013139
0.020000,168.458727,163.307386,114.722947,87.031390,-77.508714,-0.561188,0.013129
0.020000,170.168200,163.329818,116.432567,85.480995,-77.519741,-0.551364,0.013112
0.020000,171.846664,163.351809,118.111175,83.930384,-77.530571,-0.541460,0.013090
0.020000,173.494114,163.373354,119.758766,82.379560,-77.541204,-0.531677,0.013062
0.020000,175.110547,163.394444,121.375337,80.828527,-77.551640,-0.521791,0.013030
0.020000,176.695958,163.415073,122.960882,79.277289,-77.561879,-0.511963,0.012992
0.020000,178.250345,163.435237,124.515399,77.725851,-77.571921,-0.502065,0.012950
0.020000,179.773702,163.454931,126.038884,76.174216,-77.581767,-0.492316,0.012904
0.020000,181.266026,163.474152,127.531331,74.622387,-77.591413,-0.482329,0.012854
0.020000,182.727313,163.492898,128.992739,73.070370,-77.600866,-0.472629,0.012800
0.020000,184.157560,163.511167,130.423102,71.518168,-77.610120,-0.462714,0.012744
0.020000,185.556762,163.528957,131.822418,69.965784,-77.619176,-0.452782,0.012684
0.020000,186.924917,163.546269,133.190682,68.413223,-77.628039,-0.443176,0.012621
0.020000,188.262021,163.563104,134.527892,66.860489,-77.636700,-0.433028,0.012557
0.020000,189.568070,163.579461,135.834044,65.307586,-77.645168,-0.423410,0.012490
0.020000,190.843062,163.595342,137.109134,63.754517,-77.653438,-0.413503,0.012421
0.020000,192.086992,163.610750,138.353160,62.201287,-77.661509,-0.403514,0.012350
0.020000,193.299858,163.625687,139.566118,60.647899,-77.669388,-0.393972,0.012278
0.020000,194.481657,163.640155,140.748005,59.094358,-77.677064,-0.383779,0.012205
0.020000,195.632385,163.654158,141.898818,57.540667,-77.684548,-0.374206,0.012131
0.020000,196.752039,163.667700,143.018555,55.986830,-77.691832,-0.364236,0.012056
0.020000,197.840618,163.680784,144.107212,54.432852,-77.698921,-0.354417,0.011981
0.020000,198.898117,163.693415,145.164787,52.878736,-77.705810,-0.344451,0.011906
0.020000,199.924535,163.705597,146.191277,51.324486,-77.712507,-0.334859,0.011830
0.020000,200.919867,163.717335,147.186679,49.770106,-77.719003,-0.324809,0.011755
0.020000,201.884113,163.728634,148.150991,48.215600,-77.725303,-0.314991,0.011680
0.020000,202.817269,163.739499,149.084210,46.660971,-77.731407,-0.305198,0.011605
0.020000,203.719334,163.749935,149.986335,45.106225,-77.737315,-0.295400,0.011532
0.020000,204.590303,163.759947,150.857362,43.551365,-77.743021,-0.285308,0.011459
