dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.742818,136.723165,0.001111,0.111111,5.555556,277.777778,6.283147
0.020000,53.742831,136.723165,0.001125,0.000672,-5.521938,-553.874693,6.283148
0.020000,53.742862,136.723165,0.001155,0.001513,0.042017,278.197748,6.283150
0.020000,53.742915,136.723165,0.001209,0.002689,0.058810,0.839648,6.283155
0.020000,53.743000,136.723165,0.001293,0.004201,0.075582,0.838596,6.283161
0.020000,53.743120,136.723165,0.001414,0.006047,0.092319,0.836873,6.283171
0.020000,53.743285,136.723165,0.001578,0.008227,0.109005,0.834313,6.283184
0.020000,53.807330,136.723166,0.065623,3.202260,159.701643,7979.631902,0.000015
0.020000,53.897602,136.723168,0.155895,4.513582,65.566103,-4706.777016,0.000036
0.020000,54.007934,136.723174,0.266227,5.516586,50.150195,-770.795391,0.000062
0.020000,54.138325,136.723184,0.396618,6.519580,50.149705,-0.024497,0.000093
0.020000,54.288776,136.723200,0.547069,7.522564,50.149187,-0.025896,0.000128
0.020000,54.459287,136.723226,0.717580,8.525535,50.148581,-0.030322,0.000168
0.020000,54.649857,136.723262,0.908150,9.528493,50.147886,-0.034740,0.000213
0.020000,54.860486,136.723312,1.118779,10.531435,50.147103,-0.039148,0.000262
0.020000,55.091173,136.723379,1.349466,11.534360,50.146270,-0.041673,0.000316
0.020000,55.341918,136.723465,1.600211,12.537267,50.145315,-0.047742,0.000374
0.020000,55.612721,136.723575,1.871014,13.540153,50.144310,-0.050259,0.000437
0.020000,55.903582,136.723712,2.161875,14.543017,50.143192,-0.055904,0.000504
0.020000,56.214499,136.723880,2.472792,15.545857,50.142022,-0.058464,0.000576
0.020000,56.545472,136.724083,2.803765,16.548673,50.140765,-0.062882,0.000652
0.020000,56.896501,136.724326,3.154795,17.551461,50.139419,-0.067283,0.000733
0.020000,57.267585,136.724614,3.525879,18.554221,50.137986,-0.071666,0.000817
0.020000,57.658724,136.724951,3.917018,19.556950,50.136465,-0.076030,0.000907
0.020000,58.069917,136.725343,4.328211,20.559648,50.134923,-0.077077,0.001000
0.020000,58.501163,136.725795,4.759457,21.562312,50.133199,-0.086213,0.001097
0.020000,58.952462,136.726313,5.210756,22.564942,50.131479,-0.085993,0.001199
0.020000,59.423812,136.726903,5.682107,23.567535,50.129645,-0.091719,0.001305
0.020000,59.915213,136.727571,6.173508,24.570089,50.127719,-0.096316,0.001414
0.020000,60.426665,136.728324,6.684961,25.572604,50.125722,-0.099815,0.001528
0.020000,60.958166,136.729167,7.216462,26.575077,50.123661,-0.103085,0.001646
0.020000,61.509715,136.730108,7.768012,27.577507,50.121492,-0.108424,0.001767
0.020000,62.081312,136.731154,8.339610,28.579891,50.119233,-0.112963,0.001892
