dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.743725,160.441915,0.001128,0.112782,5.639098,281.954887,6.283147
0.020000,53.743714,160.441915,0.001139,0.000584,-5.609897,-562.449754,6.283148
0.020000,53.743687,160.441915,0.001166,0.001314,0.036496,282.319676,6.283151
0.020000,53.743641,160.441915,0.001212,0.002336,0.051083,0.729319,6.283155
0.020000,53.743568,160.441915,0.001285,0.003649,0.065650,0.728392,6.283161
0.020000,53.743463,160.441915,0.001391,0.005252,0.080188,0.726873,6.283171
0.020000,53.743320,160.441915,0.001533,0.007146,0.094680,0.724616,6.283184
0.020000,53.810372,160.441916,0.068586,3.352618,167.273622,8358.947076,0.000016
0.020000,53.901490,160.441918,0.159703,4.555872,60.162660,-5355.548094,0.000037
0.020000,54.013980,160.441924,0.272194,5.624547,53.433766,-336.444693,0.000064
0.020000,54.150095,160.441935,0.408309,6.805721,59.058714,281.247407,0.000096
0.020000,54.312083,160.441954,0.570297,8.099399,64.683881,281.258353,0.000134
0.020000,54.502195,160.441983,0.760408,9.505583,70.309233,281.267596,0.000179
0.020000,54.722680,160.442029,0.980894,11.024280,75.934807,281.278678,0.000231
0.020000,54.974665,160.442094,1.232879,12.599247,78.748362,140.677762,0.000290
0.020000,55.258150,160.442186,1.516364,14.174241,78.749704,0.067112,0.000357
0.020000,55.573135,160.442310,1.831349,15.749267,78.751286,0.079081,0.000430
0.020000,55.919622,160.442473,2.177835,17.324327,78.753029,0.087142,0.000511
0.020000,56.297610,160.442683,2.555824,18.899426,78.754929,0.095023,0.000598
0.020000,56.707101,160.442947,2.965315,20.474566,78.757023,0.104681,0.000693
0.020000,57.148096,160.443275,3.406310,22.049752,78.759270,0.112391,0.000795
0.020000,57.620596,160.443676,3.878810,23.624986,78.761729,0.122908,0.000903
0.020000,58.124601,160.444160,4.382816,25.200272,78.764309,0.129020,0.001018
0.020000,58.660113,160.444738,4.918328,26.775615,78.767118,0.140451,0.001139
0.020000,59.227133,160.445420,5.485348,28.351016,78.770043,0.146257,0.001267
0.020000,59.825662,160.446219,6.083878,29.926479,78.773190,0.157317,0.001402
0.020000,60.455702,160.447146,6.713918,31.502009,78.776481,0.164578,0.001543
0.020000,61.117253,160.448216,7.375470,33.077608,78.779966,0.174267,0.001689
0.020000,61.810317,160.449439,8.068536,34.653281,78.783612,0.182269,0.001842
0.020000,62.534897,160.450832,8.793116,36.229029,78.787433,0.191061,0.002001
0.020000,63.290992,160.452407,9.549213,37.804858,78.791447,0.200694,0.002165
0.020000,64.078606,160.454179,10.336829,39.380770,78.795609,0.208107,0.002335
0.020000,64.897739,160.456164,11.155964,40.956769,78.799952,0.217131,0.002510
0.020000,65.748393,160.458376,12.006621,42.532859,78.804470,0.225917,0.002691
0.020000,66.630570,160.460832,12.888802,44.109043,78.809184,0.235715,0.002876
0.020000,67.544273,160.463547,13.802509,45.685323,78.814024,0.241963,0.003067
0.020000,68.489502,160.466539,14.747743,47.261705,78.819097,0.253652,0.003262
0.020000,69.466260,160.469822,15.724507,48.838191,78.824292,0.259754,0.003462
0.020000,70.473424,160.473412,16.731677,50.358517,76.016325,-140.398349,0.003665
0.020000,71.508745,160.477314,17.767005,51.766414,70.394854,-281.073540,0.003873
0.020000,72.569974,160.481535,18.828243,53.061873,64.772935,-281.095965,0.004082
0.020000,73.654862,160.486080,19.913140,54.244886,59.150637,-281.114901,0.004295
0.020000,74.761161,160.490949,21.019449,55.315442,53.527831,-281.140256,0.004508
0.020000,75.886619,160.496144,22.144920,56.273533,47.904553,-281.163909,0.004723
