dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.743307,149.504415,0.001128,0.112782,5.639098,281.954887,6.283147
0.020000,53.743307,149.504415,0.005639,0.338346,11.278195,281.954887,6.283148
0.020000,53.743307,149.504415,0.015789,0.676692,16.917293,281.954887,6.283151
0.020000,53.743307,149.504415,0.033835,1.127820,22.556391,281.954887,6.283155
0.020000,53.743307,149.504415,0.062030,1.691729,28.195489,281.954887,6.283161
0.020000,53.743307,149.504415,0.102632,2.368421,33.834586,281.954887,6.283171
0.020000,53.743307,149.504415,0.157895,3.157895,39.473684,281.954887,6.283184
0.020000,53.810546,149.504416,0.230075,4.060150,45.112782,281.954887,0.000016
0.020000,53.901899,149.504418,0.321429,5.075188,50.751880,281.954887,0.000037
0.020000,54.014681,149.504424,0.434211,6.203008,56.390977,281.954887,0.000064
0.020000,54.151147,149.504435,0.570677,7.443609,62.030075,281.954887,0.000096
0.020000,54.313553,149.504454,0.733083,8.796992,67.669173,281.954887,0.000134
0.020000,54.504155,149.504484,0.923684,10.263158,73.308271,281.954887,0.000179
0.020000,54.725208,149.504529,1.144737,11.842105,78.947368,281.954887,0.000231
0.020000,54.977839,149.504595,1.397368,13.421053,78.947368,-0.000000,0.000290
0.020000,55.262050,149.504687,1.681579,15.000000,78.947368,0.000000,0.000357
0.020000,55.577839,149.504811,1.997368,16.578947,78.947368,-0.000000,0.000430
0.020000,55.925207,149.504974,2.344737,18.157895,78.947368,0.000000,0.000511
0.020000,56.304155,149.505185,2.723684,19.736842,78.947368,-0.000000,0.000598
0.020000,56.714681,149.505450,3.134211,21.315789,78.947368,0.000000,0.000693
0.020000,57.156786,149.505778,3.576316,22.894737,78.947368,0.000000,0.000795
0.020000,57.630470,149.506180,4.050000,24.473684,78.947368,-0.000000,0.000903
0.020000,58.135733,149.506666,4.555263,26.052632,78.947368,0.000000,0.001018
0.020000,58.672575,149.507245,5.092105,27.631579,78.947368,0.000000,0.001139
0.020000,59.240996,149.507929,5.660526,29.210526,78.947368,-0.000000,0.001267
0.020000,59.840995,149.508730,6.260526,30.789474,78.947368,0.000000,0.001402
0.020000,60.472573,149.509659,6.892105,32.368421,78.947368,0.000000,0.001543
0.020000,61.135730,149.510731,7.555263,33.947368,78.947368,-0.000000,0.001689
0.020000,61.830466,149.511958,8.250000,35.526316,78.947368,0.000000,0.001842
0.020000,62.556780,149.513354,8.976316,37.105263,78.947368,-0.000000,0.002001
0.020000,63.314674,149.514932,9.734211,38.684211,78.947368,0.000000,0.002165
0.020000,64.104145,149.516709,10.523684,40.263158,78.947368,0.000000,0.002335
0.020000,64.925195,149.518698,11.344737,41.842105,78.947368,-0.000000,0.002510
0.020000,65.777824,149.520916,12.197368,43.421053,78.947368,0.000000,0.002691
0.020000,66.662031,149.523377,13.081579,45.000000,78.947368,-0.000000,0.002876
0.020000,67.577817,149.526099,13.997368,46.578947,78.947368,0.000000,0.003067
0.020000,68.525180,149.529097,14.944737,48.157895,78.947368,0.000000,0.003262
0.020000,69.504122,149.532388,15.923684,49.736842,78.947368,-0.000000,0.003462
0.020000,70.513514,149.535985,16.933083,51.203008,73.308271,-281.954887,0.003665
0.020000,71.551101,149.539896,17.970677,52.556391,67.669173,-281.954887,0.003873
0.020000,72.614626,149.544126,19.034211,53.796992,62.030075,-281.954887,0.004082
