dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.101815,180.937500,0.001143,0.114286,5.714286,285.714286,0.000020
0.020000,50.101821,180.937500,0.001149,0.000331,-5.697720,-570.600276,0.000020
0.020000,50.101836,180.937500,0.001164,0.000745,0.020702,285.921094,0.000019
0.020000,50.101863,180.937500,0.001191,0.001325,0.028968,0.413299,0.000016
0.020000,50.101904,180.937500,0.001232,0.002069,0.037211,0.412160,0.000012
0.020000,50.101964,180.937500,0.001292,0.002977,0.045417,0.410296,0.000007
0.020000,50.106008,180.937500,0.005336,0.202233,9.962803,495.869286,6.283185
0.020000,50.179257,180.937500,0.078585,3.662424,173.009549,8152.337280,6.283175
0.020000,50.271962,180.937498,0.171290,4.635245,48.641040,-6218.425418,6.283163
0.020000,50.386412,180.937495,0.285740,5.722508,54.363165,286.106234,6.283148
0.020000,50.524896,180.937488,0.424224,6.924211,60.085125,286.098019,6.283130
0.020000,50.689703,180.937477,0.589031,8.240349,65.806885,286.087990,6.283108
0.020000,50.883121,180.937460,0.782450,9.670917,71.528404,286.075964,6.283083
0.020000,51.107440,180.937434,1.006768,11.215909,77.249639,286.061745,6.283054
0.020000,51.363802,180.937396,1.263130,12.818097,80.109371,142.986606,6.283021
0.020000,51.652207,180.937343,1.551535,14.420250,80.107664,-0.085378,6.282984
0.020000,51.972654,180.937272,1.871982,16.022365,80.105743,-0.096027,6.282943
0.020000,52.325143,180.937179,2.224471,17.624437,80.103609,-0.106716,6.282898
0.020000,52.709672,180.937059,2.609000,19.226462,80.101262,-0.117360,6.282850
0.020000,53.126240,180.936908,3.025569,20.828436,80.098701,-0.128049,6.282798
0.020000,53.574848,180.936722,3.474176,22.430355,80.095926,-0.138711,6.282742
0.020000,54.055492,180.936495,3.954820,24.032214,80.092938,-0.149399,6.282683
0.020000,54.568172,180.936222,4.467500,25.634009,80.089737,-0.160050,6.282621
0.020000,55.112886,180.935897,5.012215,27.235735,80.086323,-0.170704,6.282556
0.020000,55.689634,180.935514,5.588963,28.837389,80.082694,-0.181454,6.282488
0.020000,56.298413,180.935067,6.197742,30.438966,80.078854,-0.192028,6.282416
0.020000,56.939222,180.934551,6.838551,32.040462,80.074799,-0.202735,6.282342
0.020000,57.612059,180.933958,7.511389,33.641873,80.070531,-0.213408,6.282266
0.020000,58.316923,180.933282,8.216253,35.243194,80.066048,-0.224142,6.282187
0.020000,59.053811,180.932516,8.953141,36.844421,80.061355,-0.234667,6.282106
0.020000,59.822722,180.931653,9.722052,38.445550,80.056446,-0.245455,6.282022
0.020000,60.623652,180.930688,10.522984,40.046576,80.051323,-0.256111,6.281937
0.020000,61.456602,180.929611,11.355933,41.647496,80.045989,-0.266732,6.281850
0.020000,62.321567,180.928418,12.220900,43.248305,80.040440,-0.277434,6.281762
0.020000,63.218546,180.927101,13.117880,44.848998,80.034678,-0.288095,6.281672
0.020000,64.147536,180.925653,14.046871,46.449572,80.028702,-0.298827,6.281582
0.020000,65.108535,180.924068,15.007871,48.050022,80.022514,-0.309385,6.281490
0.020000,66.101541,180.922339,16.000878,49.650345,80.016110,-0.320187,6.281398
0.020000,67.126550,180.920459,17.025889,51.250535,80.009498,-0.330623,6.281306
0.020000,68.183560,180.918423,18.082901,52.850588,80.002665,-0.341650,6.281213
0.020000,69.272567,180.916225,19.171911,54.450500,79.995625,-0.351984,6.281121
0.020000,70.393570,180.913859,20.292916,56.050268,79.988369,-0.362797,6.281029
0.020000,71.546565,180.911320,21.445914,57.649886,79.980898,-0.373546,6.280938
0.020000,72.731549,180.908603,22.630901,59.249350,79.973218,-0.384022,6.280847
0.020000,73.948519,180.905703,23.847874,60.848656,79.965320,-0.394896,6.280758
0.020000,75.197471,180.902617,25.096830,62.447801,79.957212,-0.405387,6.280671
0.020000,76.478402,180.899341,26.377766,64.046779,79.948889,-0.416135,6.280586
0.020000,77.791309,180.895873,27.690677,65.645586,79.940352,-0.426876,6.280502
0.020000,79.136189,180.892210,29.035562,67.244218,79.931604,-0.437385,6.280421
0.020000,80.513037,180.888350,30.412415,68.842670,79.922640,-0.448228,6.280343
0.020000,81.920706,180.884296,31.820090,70.383765,77.054716,-143.396160,6.280269
0.020000,83.356907,180.880055,33.256297,71.810333,71.328401,-286.315796,6.280197
0.020000,84.819348,180.875636,34.718745,73.122389,65.602815,-286.279266,6.280130
0.020000,86.305740,180.871048,36.205144,74.319949,59.878009,-286.240313,6.280068
0.020000,87.813793,180.866302,37.713204,75.403030,54.154015,-286.199681,6.280010
0.020000,89.341218,180.861411,39.240637,76.371647,48.430876,-286.156975,6.279957
0.020000,90.885726,180.856388,40.785154,77.225819,42.708619,-286.112828,6.279910
0.020000,92.445029,180.851247,42.344465,77.965565,36.987277,-286.067128,6.279869
0.020000,94.016838,180.846005,43.916283,78.590902,31.266873,-286.020168,6.279833
0.020000,95.598866,180.840678,45.498320,79.101851,25.547431,-285.972128,6.279803
0.020000,97.188826,180.835281,47.088289,79.498430,19.828967,-285.923186,6.279780
0.020000,98.784430,180.829834,48.683902,79.780660,14.111497,-285.873521,6.279763
0.020000,100.383391,180.824353,50.282873,79.948561,8.395030,-285.823312,6.279753
0.020000,101.983425,180.818857,51.882916,80.002152,2.679576,-285.772740,6.279749
0.020000,103.583388,180.813360,53.482888,79.998596,-0.177834,-142.870497,6.279751
0.020000,105.183279,180.807872,55.082789,79.995039,-0.177835,-0.000010,6.279761
0.020000,106.783099,180.802405,56.682618,79.991482,-0.177835,-0.000009,6.279776
0.020000,108.382849,180.796968,58.282377,79.987926,-0.177834,0.000025,6.279798
0.020000,109.982527,180.791572,59.882064,79.984369,-0.177835,-0.000035,6.279827
0.020000,111.582134,180.786227,61.481681,79.980812,-0.177835,-0.000017,6.279862
0.020000,113.181670,180.780943,63.081226,79.977256,-0.177835,-0.000009,6.279903
0.020000,114.781136,180.775731,64.680700,79.973699,-0.177835,0.000044,6.279952
0.020000,116.380531,180.770602,66.280103,79.970142,-0.177836,-0.000075,6.280006
0.020000,117.979854,180.765566,67.879434,79.966585,-0.177837,-0.000022,6.280067
0.020000,119.579107,180.760632,69.478695,79.963029,-0.177837,-0.000003,6.280135
0.020000,121.178290,180.755813,71.077884,79.959472,-0.177836,0.000050,6.280209
0.020000,122.777401,180.751117,72.677003,79.955915,-0.177838,-0.000103,6.280290
0.020000,124.376442,180.746555,74.276050,79.952358,-0.177838,-0.000024,6.280377
0.020000,125.975412,180.742138,75.875026,79.948802,-0.177838,0.000009,6.280470
0.020000,127.574311,180.737876,77.473931,79.945245,-0.177837,0.000044,6.280570
0.020000,129.173139,180.733780,79.072764,79.941688,-0.177839,-0.000115,6.280677
0.020000,130.771897,180.729860,80.671527,79.938131,-0.177840,-0.000022,6.280790
0.020000,132.370584,180.726125,82.270219,79.934575,-0.177839,0.000023,6.280910
0.020000,133.969201,180.722588,83.868839,79.931018,-0.177839,0.000031,6.281036
0.020000,135.567746,180.719257,85.467388,79.927461,-0.177841,-0.000110,6.281169
0.020000,137.166221,180.716144,87.065866,79.923904,-0.177841,-0.000014,6.281308
0.020000,138.764626,180.713258,88.664273,79.920347,-0.177841,0.000037,6.281453
0.020000,140.362959,180.710611,90.262609,79.916791,-0.177840,0.000016,6.281606
0.020000,141.961222,180.708212,91.860874,79.913234,-0.177842,-0.000085,6.281764
0.020000,143.559414,180.706072,93.459067,79.909677,-0.177842,-0.000000,6.281929
0.020000,145.157536,180.704201,95.057190,79.906120,-0.177841,0.000046,6.282101
0.020000,146.755586,180.702610,96.655241,79.902563,-0.177841,0.000006,6.282279
0.020000,148.353566,180.701309,98.253221,79.899006,-0.177842,-0.000042,6.282464
0.020000,149.951474,180.700308,99.851130,79.895450,-0.177841,0.000022,6.282655
0.020000,151.549312,180.699618,101.448968,79.891893,-0.177840,0.000047,6.282853
0.020000,153.147079,180.699249,103.046735,79.888336,-0.177840,0.000010,6.283057
0.020000,154.744774,180.699211,104.644430,79.884779,-0.177840,0.000019,0.000082
0.020000,156.341966,180.699515,106.241622,79.859592,-1.259335,-54.074784,0.000299
0.020000,157.937081,180.700170,107.836736,79.755726,-5.193349,-196.700698,0.000523
0.020000,159.527836,180.701183,109.427492,79.537769,-10.897847,-285.224901,0.000752
0.020000,161.111950,180.702560,111.011607,79.205742,-16.601335,-285.174400,0.000987
0.020000,162.687142,180.704302,112.586800,78.759665,-22.303823,-285.124393,0.001226
0.020000,164.251132,180.706410,114.150791,78.199559,-28.005323,-285.074985,0.001471
0.020000,165.801639,180.708882,115.701300,77.525442,-33.705850,-285.026367,0.001719
0.020000,167.336383,180.711713,117.236047,76.737333,-39.405424,-284.978707,0.001971
0.020000,168.853085,180.714894,118.752752,75.835252,-45.104068,-284.932175,0.002226
0.020000,170.349465,180.718416,120.249136,74.819216,-50.801812,-284.887179,0.002483
0.020000,171.823245,180.722265,121.722921,73.689242,-56.498681,-284.843472,0.002742
0.020000,173.272146,180.726425,123.171828,72.445348,-62.194711,-284.801517,0.003001
0.020000,174.693890,180.730877,124.593579,71.087549,-67.889940,-284.761450,0.003262
0.020000,176.086199,180.735599,125.985896,69.615861,-73.584414,-284.723679,0.003522
0.020000,177.447228,180.740567,127.346934,68.051915,-78.197309,-230.644765,0.003780
0.020000,178.776273,180.745762,128.675989,66.452742,-79.958643,-88.066683,0.004038
0.020000,180.073336,180.751165,129.973064,64.853746,-79.949771,0.443593,0.004293
0.020000,181.338423,180.756756,131.238163,63.254925,-79.941093,0.433901,0.004546
0.020000,182.571535,180.762516,132.471288,61.656272,-79.932637,0.422805,0.004797
0.020000,183.772676,180.768427,133.672444,60.057784,-79.924391,0.412291,0.005045
0.020000,184.941849,180.774469,134.841633,58.459456,-79.916382,0.400478,0.005290
0.020000,186.079058,180.780622,135.978859,56.861286,-79.908542,0.392001,0.005532
0.020000,187.184306,180.786868,137.084124,55.263267,-79.900952,0.379464,0.005770
0.020000,188.257595,180.793186,138.157432,53.665395,-79.893569,0.369137,0.006004
0.020000,189.298929,180.799558,139.198785,52.067667,-79.886391,0.358934,0.006234
