dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.102039,170.000000,0.001128,0.112782,5.639098,281.954887,0.000021
0.020000,50.102039,170.000000,0.005639,0.338346,11.278195,281.954887,0.000020
0.020000,50.102039,170.000000,0.015789,0.676692,16.917293,281.954887,0.000019
0.020000,50.102039,170.000000,0.033835,1.127820,22.556391,281.954887,0.000016
0.020000,50.102039,170.000000,0.062030,1.691729,28.195489,281.954887,0.000012
0.020000,50.102039,170.000000,0.102632,2.368421,33.834586,281.954887,0.000007
0.020000,50.103897,170.000000,0.157895,3.157895,39.473684,281.954887,6.283185
0.020000,50.176078,170.000000,0.230075,4.060150,45.112782,281.954887,6.283176
0.020000,50.267431,169.999998,0.321429,5.075188,50.751880,281.954887,6.283163
0.020000,50.380213,169.999995,0.434211,6.203008,56.390977,281.954887,6.283149
0.020000,50.516679,169.999989,0.570677,7.443609,62.030075,281.954887,6.283131
0.020000,50.679085,169.999978,0.733083,8.796992,67.669173,281.954887,6.283109
0.020000,50.869687,169.999961,0.923684,10.263158,73.308271,281.954887,6.283085
0.020000,51.090739,169.999936,1.144737,11.842105,78.947368,281.954887,6.283056
0.020000,51.343371,169.999899,1.397368,13.421053,78.947368,-0.000000,6.283023
0.020000,51.627582,169.999848,1.681579,15.000000,78.947368,0.000000,6.282987
0.020000,51.943371,169.999779,1.997368,16.578947,78.947368,-0.000000,6.282946
0.020000,52.290739,169.999688,2.344737,18.157895,78.947368,0.000000,6.282902
0.020000,52.669687,169.999572,2.723684,19.736842,78.947368,-0.000000,6.282854
0.020000,53.080213,169.999425,3.134211,21.315789,78.947368,0.000000,6.282803
0.020000,53.522318,169.999244,3.576316,22.894737,78.947368,0.000000,6.282748
0.020000,53.996002,169.999023,4.050000,24.473684,78.947368,-0.000000,6.282690
0.020000,54.501266,169.998757,4.555263,26.052632,78.947368,0.000000,6.282629
0.020000,55.038108,169.998441,5.092105,27.631579,78.947368,0.000000,6.282564
0.020000,55.606528,169.998069,5.660526,29.210526,78.947368,-0.000000,6.282496
0.020000,56.206528,169.997634,6.260526,30.789474,78.947368,0.000000,6.282426
0.020000,56.838107,169.997132,6.892105,32.368421,78.947368,0.000000,6.282353
0.020000,57.501265,169.996554,7.555263,33.947368,78.947368,-0.000000,6.282277
0.020000,58.196001,169.995896,8.250000,35.526316,78.947368,0.000000,6.282199
0.020000,58.922317,169.995151,8.976316,37.105263,78.947368,-0.000000,6.282119
0.020000,59.680211,169.994311,9.734211,38.684211,78.947368,0.000000,6.282036
0.020000,60.469684,169.993370,10.523684,40.263158,78.947368,0.000000,6.281952
0.020000,61.290736,169.992322,11.344737,41.842105,78.947368,-0.000000,6.281866
0.020000,62.143367,169.991160,12.197368,43.421053,78.947368,0.000000,6.281778
0.020000,63.027576,169.989876,13.081579,45.000000,78.947368,-0.000000,6.281690
0.020000,63.943365,169.988465,13.997368,46.578947,78.947368,0.000000,6.281600
0.020000,64.890732,169.986920,14.944737,48.157895,78.947368,0.000000,6.281509
0.020000,65.869678,169.985234,15.923684,49.736842,78.947368,-0.000000,6.281418
0.020000,66.879075,169.983403,16.933083,51.203008,73.308271,-281.954887,6.281326
0.020000,67.916667,169.981426,17.970677,52.556391,67.669173,-281.954887,6.281234
0.020000,68.980198,169.979303,19.034211,53.796992,62.030075,-281.954887,6.281143
0.020000,70.067414,169.977033,20.121429,54.924812,56.390977,-281.954887,6.281053
0.020000,71.176058,169.974620,21.230075,55.939850,50.751880,-281.954887,6.280965
0.020000,72.303875,169.972067,22.357895,56.842105,45.112782,-281.954887,6.280878
0.020000,73.448608,169.969376,23.502632,57.631579,39.473684,-281.954887,6.280793
0.020000,74.608004,169.966554,24.662030,58.308271,33.834586,-281.954887,6.280710
0.020000,75.779804,169.963606,25.833835,58.872180,28.195489,-281.954887,6.280630
0.020000,76.961755,169.960539,27.015789,59.323308,22.556391,-281.954887,6.280553
0.020000,78.151601,169.957362,28.205639,59.661654,16.917293,-281.954887,6.280478
0.020000,79.347085,169.954083,29.401128,59.887218,11.278195,-281.954887,6.280407
0.020000,80.545952,169.950712,30.600000,60.000000,5.639098,-281.954887,6.280340
0.020000,81.745947,169.947259,31.800000,60.000000,0.000000,-281.954887,6.280276
0.020000,82.945942,169.943731,33.000000,60.000000,0.000000,0.000000,6.280216
0.020000,84.145937,169.940133,34.200000,60.000000,0.000000,0.000000,6.280159
0.020000,85.345931,169.936469,35.400000,60.000000,0.000000,0.000000,6.280106
0.020000,86.545925,169.932744,36.600000,60.000000,0.000000,0.000000,6.280057
0.020000,87.745919,169.928962,37.800000,60.000000,0.000000,0.000000,6.280011
0.020000,88.945913,169.925128,39.000000,60.000000,0.000000,0.000000,6.279969
0.020000,90.145907,169.921245,40.200000,60.000000,0.000000,0.000000,6.279931
0.020000,91.345901,169.917318,41.400000,60.000000,0.000000,0.000000,6.279896
0.020000,92.545894,169.913352,42.600000,60.000000,0.000000,0.000000,6.279865
0.020000,93.745887,169.909352,43.800000,60.000000,0.000000,0.000000,6.279838
0.020000,94.945881,169.905320,45.000000,60.000000,0.000000,0.000000,6.279814
0.020000,96.145874,169.901262,46.200000,60.000000,0.000000,0.000000,6.279794
0.020000,97.345867,169.897183,47.400000,60.000000,0.000000,0.000000,6.279778
0.020000,98.545860,169.893086,48.600000,60.000000,0.000000,0.000000,6.279765
0.020000,99.745853,169.888976,49.800000,60.000000,0.000000,0.000000,6.279756
0.020000,100.945846,169.884857,51.000000,60.000000,0.000000,0.000000,6.279751
0.020000,102.145839,169.880734,52.200000,60.000000,0.000000,0.000000,6.279749
0.020000,103.345832,169.876611,53.400000,60.000000,0.000000,0.000000,6.279751
0.020000,104.545824,169.872493,54.600000,60.000000,0.000000,0.000000,6.279756
0.020000,105.745817,169.868383,55.800000,60.000000,0.000000,0.000000,6.279766
0.020000,106.945810,169.864287,57.000000,60.000000,0.000000,0.000000,6.279779
0.020000,108.145803,169.860208,58.200000,60.000000,0.000000,0.000000,6.279795
0.020000,109.345797,169.856152,59.400000,60.000000,0.000000,0.000000,6.279815
0.020000,110.545790,169.852122,60.600000,60.000000,0.000000,0.000000,6.279839
0.020000,111.745783,169.848123,61.800000,60.000000,0.000000,0.000000,6.279867
0.020000,112.945777,169.844159,63.000000,60.000000,0.000000,0.000000,6.279898
0.020000,114.145770,169.840235,64.200000,60.000000,0.000000,0.000000,6.279933
0.020000,115.345764,169.836354,65.400000,60.000000,0.000000,0.000000,6.279971
0.020000,116.545758,169.832522,66.600000,60.000000,0.000000,0.000000,6.280013
0.020000,117.745752,169.828743,67.800000,60.000000,0.000000,0.000000,6.280059
0.020000,118.945746,169.825021,69.000000,60.000000,0.000000,0.000000,6.280109
0.020000,120.145741,169.821361,70.200000,60.000000,0.000000,0.000000,6.280162
0.020000,121.345735,169.817767,71.400000,60.000000,0.000000,0.000000,6.280219
0.020000,122.545730,169.814243,72.600000,60.000000,0.000000,0.000000,6.280279
0.020000,123.745725,169.810793,73.800000,60.000000,0.000000,0.000000,6.280343
0.020000,124.945720,169.807423,75.000000,60.000000,0.000000,0.000000,6.280411
0.020000,126.145716,169.804137,76.200000,60.000000,0.000000,0.000000,6.280482
0.020000,127.345712,169.800938,77.400000,60.000000,0.000000,0.000000,6.280558
0.020000,128.545708,169.797832,78.600000,60.000000,0.000000,0.000000,6.280636
0.020000,129.745704,169.794822,79.800000,60.000000,0.000000,0.000000,6.280719
0.020000,130.945700,169.791913,81.000000,60.000000,0.000000,0.000000,6.280805
0.020000,132.145697,169.789110,82.200000,60.000000,0.000000,0.000000,6.280895
0.020000,133.345694,169.786417,83.400000,60.000000,0.000000,0.000000,6.280988
0.020000,134.545691,169.783838,84.600000,60.000000,0.000000,0.000000,6.281085
0.020000,135.745689,169.781378,85.800000,60.000000,0.000000,0.000000,6.281186
0.020000,136.945686,169.779040,87.000000,60.000000,0.000000,0.000000,6.281290
0.020000,138.145684,169.776830,88.200000,60.000000,0.000000,0.000000,6.281398
0.020000,139.345683,169.774752,89.400000,60.000000,0.000000,0.000000,6.281510
0.020000,140.545681,169.772810,90.600000,60.000000,0.000000,0.000000,6.281625
0.020000,141.745680,169.771009,91.800000,60.000000,0.000000,0.000000,6.281744
0.020000,142.945678,169.769353,93.000000,60.000000,0.000000,0.000000,6.281867
0.020000,144.145677,169.767846,94.200000,60.000000,0.000000,0.000000,6.281993
0.020000,145.345677,169.766493,95.400000,60.000000,0.000000,0.000000,6.282123
0.020000,146.545676,169.765298,96.600000,60.000000,0.000000,0.000000,6.282257
0.020000,147.745676,169.764265,97.800000,60.000000,0.000000,0.000000,6.282394
0.020000,148.945675,169.763400,99.000000,60.000000,0.000000,0.000000,6.282535
0.020000,150.145675,169.762706,100.200000,60.000000,0.000000,0.000000,6.282679
0.020000,151.345675,169.762187,101.400000,60.000000,0.000000,0.000000,6.282828
0.020000,152.545675,169.761849,102.600000,60.000000,0.000000,0.000000,6.282980
0.020000,153.745675,169.761695,103.800000,60.000000,0.000000,0.000000,6.283135
0.020000,154.945675,169.761730,105.000000,60.000000,0.000000,0.000000,0.000109
0.020000,156.145675,169.761959,106.200000,60.000000,0.000000,0.000000,0.000272
0.020000,157.345675,169.762385,107.400000,60.000000,0.000000,0.000000,0.000439
0.020000,158.545675,169.763013,108.600000,60.000000,0.000000,0.000000,0.000609
0.020000,159.745674,169.763847,109.800000,60.000000,0.000000,0.000000,0.000783
0.020000,160.945674,169.764893,111.000000,60.000000,0.000000,0.000000,0.000960
0.020000,162.145673,169.766153,112.200000,60.000000,0.000000,0.000000,0.001141
0.020000,163.345672,169.767633,113.400000,60.000000,0.000000,0.000000,0.001326
0.020000,164.545671,169.769337,114.600000,60.000000,0.000000,0.000000,0.001515
0.020000,165.745670,169.771270,115.800000,60.000000,0.000000,0.000000,0.001707
0.020000,166.945668,169.773435,117.000000,60.000000,0.000000,0.000000,0.001903
0.020000,168.145665,169.775838,118.200000,60.000000,0.000000,0.000000,0.002102
0.020000,169.345662,169.778482,119.400000,60.000000,0.000000,0.000000,0.002305
0.020000,170.545659,169.781372,120.600000,60.000000,0.000000,0.000000,0.002512
0.020000,171.745655,169.784513,121.800000,60.000000,0.000000,0.000000,0.002723
0.020000,172.945650,169.787908,123.000000,60.000000,0.000000,0.000000,0.002937
0.020000,174.145644,169.791562,124.200000,60.000000,0.000000,0.000000,0.003154
