dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.102263,159.062500,0.001143,0.114286,5.714286,285.714286,0.000020
0.020000,50.102256,159.062500,0.001149,0.000331,-5.697720,-570.600276,0.000020
0.020000,50.102242,159.062500,0.001164,0.000745,0.020702,285.921094,0.000019
0.020000,50.102215,159.062500,0.001191,0.001325,0.028968,0.413299,0.000016
0.020000,50.102174,159.062500,0.001232,0.002069,0.037211,0.412160,0.000012
0.020000,50.102114,159.062500,0.001292,0.002977,0.045417,0.410296,0.000007
0.020000,50.105997,159.062500,0.005175,0.194136,9.557939,475.626077,6.283185
0.020000,50.179034,159.062500,0.078212,3.651861,172.886267,8166.416398,6.283175
0.020000,50.271472,159.062498,0.170650,4.621898,48.501817,-6219.222483,6.283163
0.020000,50.385593,159.062495,0.284771,5.706063,54.208264,285.322335,6.283148
0.020000,50.523681,159.062488,0.422858,6.904361,59.914875,285.330552,6.283130
0.020000,50.688016,159.062477,0.587194,8.216794,65.621686,285.340584,6.283108
0.020000,50.880884,159.062460,0.780061,9.643369,71.328739,285.352612,6.283083
0.020000,51.104566,159.062434,1.003743,11.184091,77.036075,285.366802,6.283054
0.020000,51.360204,159.062396,1.259381,12.781903,79.890629,142.727718,6.283021
0.020000,51.647799,159.062343,1.546976,14.379750,79.892336,0.085348,6.282984
0.020000,51.967351,159.062273,1.866529,15.977635,79.894257,0.096040,6.282943
0.020000,52.318863,159.062179,2.218040,17.575563,79.896391,0.106692,6.282898
0.020000,52.702333,159.062060,2.601511,19.173538,79.898738,0.117389,6.282850
0.020000,53.117765,159.061910,3.016942,20.771564,79.901299,0.128041,6.282798
0.020000,53.565157,159.061724,3.464335,22.369645,79.904074,0.138720,6.282742
0.020000,54.044513,159.061498,3.943691,23.967786,79.907061,0.149373,6.282683
0.020000,54.555833,159.061225,4.455011,25.565991,79.910262,0.160064,6.282621
0.020000,55.099118,159.060901,4.998296,27.164265,79.913677,0.170751,6.282556
0.020000,55.674370,159.060519,5.573548,28.762611,79.917304,0.181342,6.282488
0.020000,56.281591,159.060074,6.180769,30.361034,79.921146,0.192109,6.282416
0.020000,56.920781,159.059558,6.819960,31.959538,79.925201,0.202743,6.282342
0.020000,57.591943,159.058967,7.491122,33.558127,79.929470,0.213411,6.282266
0.020000,58.295079,159.058292,8.194258,35.156806,79.933950,0.224018,6.282187
0.020000,59.030190,159.057528,8.929370,36.755579,79.938647,0.234835,6.282106
0.020000,59.797279,159.056668,9.696459,38.354450,79.943554,0.245387,6.282022
0.020000,60.596347,159.055705,10.495527,39.953424,79.948676,0.256072,6.281937
0.020000,61.427396,159.054631,11.326578,41.552504,79.954012,0.266792,6.281850
0.020000,62.290429,159.053441,12.189611,43.151695,79.959560,0.277430,6.281762
0.020000,63.185448,159.052126,13.084631,44.751002,79.965322,0.288110,6.281672
0.020000,64.112456,159.050681,14.011640,46.350428,79.971297,0.298717,6.281582
0.020000,65.071454,159.049100,14.970640,47.949978,79.977487,0.309499,6.281490
0.020000,66.062446,159.047374,15.961633,49.549655,79.983887,0.320037,6.281398
0.020000,67.085433,159.045498,16.984622,51.149465,79.990506,0.330940,6.281306
0.020000,68.140420,159.043466,18.039610,52.749412,79.997331,0.341253,6.281213
0.020000,69.227407,159.041272,19.126600,54.349500,80.004376,0.352257,6.281121
0.020000,70.346400,159.038910,20.245595,55.949732,80.011632,0.362783,6.281029
0.020000,71.497399,159.036375,21.396597,57.550114,80.019100,0.373372,6.280938
0.020000,72.680409,159.033663,22.579610,59.150650,80.026784,0.384233,6.280847
